FEN,Move
r2q1rk1/pp1n1ppp/2p1pn2/7b/PbBPPN2/2N1BP2/1P4PP/R2Q1RK1 b - - 7 11,e6e5
r2q1r1k/pp4pp/3NQ3/4p3/1P6/3Pb1P1/P6P/R4R1K b - - 0 20,d8b6
8/1pk3pp/1p2n3/5K1P/8/8/5P2/8 b - - 0 38,c7d6
r1b2rk1/ppp1qppp/2nbp3/4N3/3PpB2/3BP3/PPP2PPP/R2Q1RK1 w - - 0 10,d3e4
rnb2rk1/2pq1ppp/1p3n2/1P2p3/P3P3/R2P4/5PPP/3QKBNR w K - 1 12,d1c1
rnbqk2r/ppp1bp2/4p1p1/3pP2p/3P4/2PB4/PPQ2PPP/RN2K1NR w KQq - 2 10,g1f3
5k2/p6p/5pp1/2r5/2n5/2P3P1/P4P1P/1R4K1 b - - 0 34,c4b6
r1b1kr2/pppp3Q/2n5/4pNp1/2B1Pp2/2PP1N1P/PP3KP1/R1B5 b - - 6 17,d7d6
8/3k4/8/1pp5/p4Ppr/P5R1/8/4K3 w - - 0 60,e1f2
2k3r1/1pp2p1n/p5qb/2Nr4/P2B2P1/8/1P4P1/R2QR1K1 b - - 1 26,h6g7
rnb1kbnr/pp3pp1/2pp1q1p/8/3NP3/1P6/PBPN1PPP/R2QKB1R b KQkq - 1 7,f6d8
6k1/6pp/3q1p2/PB1p4/Pp1P2Q1/2p4P/2Pn1KP1/1N2r3 b - - 9 32,d6e7
r4k2/ppp2p1p/3p4/nP3b1B/P7/8/R7/2K5 w - - 0 29,a2f2
3k4/6R1/3p4/3Pp3/2p1P1p1/6r1/2K5/8 w - - 0 52,c2d2
r7/2Npqkp1/b2p1n1p/4p3/1p2P3/3P3P/PPQ2PP1/R1B1K2R w KQ - 4 18,c7a8
r3k2r/ppp2pp1/3b4/3p1b2/1n1Pp1p1/PP2P1Pq/1BPNQP1P/2KR3R b kq - 0 14,b4c6
2kr3r/1pp1qRb1/p6p/P2B2p1/1P2P3/3P3P/2P3P1/R2Q2K1 b - - 0 19,g7d4
r1bqr1k1/2pnppbp/p5p1/1p1pP3/3P4/P1PBPR2/1P1N2PP/R1BQ2K1 b - - 0 12,c7c5
2r2rk1/n3q1p1/p2bbp1p/1p2p3/nP1pP1NN/P2P3P/3BBPP1/2RQ1RK1 b - - 1 23,c8c1
4k2r/3nppbp/rq1p2p1/2pP2P1/pp2PN2/4BP2/PPPQ3P/1K1R3R w k - 0 17,f4d3
rn1qkb1r/pp2ppp1/2p4p/5b2/3Pp3/8/PPPN1PPP/R1BQKB1R w KQkq - 2 8,c2c3
2k5/7R/3K4/8/7P/P2P4/P1P2P2/8 w - - 13 61,h7h8
1r2k2r/4ppb1/p2p1np1/3P1bBp/1q5P/1PN1QP2/2P1N1P1/2KR3R b k - 0 19,e8g8
rn2k3/pp1q2pQ/4pr2/3p4/1b1P4/2N5/PP2N1PP/R4RK1 w q - 1 17,h7h8
r1r3k1/p2n1ppp/bp2p3/1p2P3/2P5/B5P1/P1KN2BP/R7 w - - 0 23,a3d6
rn3rk1/2q1bppp/pp3n2/3pN3/2pPP3/2N5/PP3PPP/R1BQR1K1 w - - 1 14,e4d5
8/8/8/7k/8/5PP1/7K/8 b - - 0 51,h5h6
r3k1nr/pp1b1ppp/2n1p3/1B2N3/8/b7/PB2KPPP/R6R w kq - 0 13,b5c6
6r1/8/3p4/4kp2/8/8/PP5P/5R1K w - - 0 34,a2a4
2k5/ppp1r3/4Nrp1/3P3p/6n1/P2P4/1BP1QPPP/4RRK1 b - - 0 21,f6f5
r2q1r1k/pp1n3p/6p1/3p2P1/3Pp3/P5QP/1PP2P2/2KR3R b - - 4 21,f8f3
5r2/1p2qk1p/p3bnp1/Q2pBp2/2pP4/4PBP1/P1P2P1P/1R2R1K1 w - - 1 25,e5f6
r1q2rk1/3bbppp/p1np1n2/1pp1p3/1P2P3/P1PPBN2/B2N1PPP/1R1Q1RK1 w - - 0 13,f1e1
8/2p1r2q/4P3/3k2Kp/3P2p1/4R1P1/7P/8 b - - 3 57,e7g7
8/2p1k1r1/1p1p4/3PbP2/2P1K3/1P6/P5p1/6R1 b - - 1 60,e5h2
5rk1/6pp/p3p3/1p2P3/2p5/2P5/PR2KBPP/1R6 b - - 0 33,f8f5
2r2r2/p5kp/2p1ppp1/3p1b2/3P4/1P2PPB1/P5PP/2R2RK1 w - - 0 24,c1c3
r4rk1/1b3ppp/pbn1pq2/1p6/1P6/P2BPN2/4QPPP/R1B2RK1 w - - 0 15,c1b2
r5r1/pbq2pk1/1p2p1pp/3pP3/7N/2PB3P/PPQ2PP1/R3R1K1 b - - 5 21,d5d4
r2qk2r/pbpn1p1p/1p3npQ/3pp3/4P3/2NP1N1P/PPP1BPP1/R3K2R w KQkq - 0 11,e4d5
r1b1k1nr/pp3ppp/2n1p3/3pP3/3P4/q4N2/P2B1PPP/1R1QKB1R w Kkq - 1 11,h2h4
1rr3k1/p1q1ppbp/3p2p1/4P3/5P2/1B1QBb2/PPPR3P/2K3R1 w - - 0 18,e5d6
rnbq1rk1/pp2b1pp/2ppppn1/8/2PPPP2/2NB1N2/PP4PP/R1BQ1RK1 w - - 6 9,f4f5
3b1r1n/1kqr1p1p/p1p1p2P/Pp1pPpPB/1P1P1P2/2P5/1R1B4/1R2Q2K b - - 39 58,b7a8
3r1rk1/2p2p1p/p5p1/1p6/6R1/P1P2P2/5P1P/6RK w - - 0 25,h1g2
r1b1qrk1/pppnp1bp/3p1np1/5pB1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ - 3 9,e3e4
r1bq1rk1/2p1bppp/p1p5/3pN3/3Pn3/2P5/PP3PPP/RNBQR1K1 w - - 1 11,e5c6
7r/ppp2ppp/2p1k3/4p3/4P3/2P2P2/PPPr1P1P/3R2K1 w - - 0 15,d1d2
r1b2n2/1p2b1kp/p1n1p1p1/3pP3/q2P1B2/1R1Q1N2/5PP1/1B1R2K1 b - - 4 24,c6a5
8/7p/7p/p3N3/Pk6/2p5/3K3P/8 w - - 0 43,d2d3
3r4/p2P4/7p/1pk1P1p1/5p2/P7/1P3PPP/3R2K1 b - - 0 32,c5c6
r3kb1r/ppp2ppp/2n5/4p1q1/2BpP1P1/8/PPPP1P2/RNB1K2R b KQkq - 0 10,g5f4
8/4k3/p1p2R2/P1Pb2K1/4p3/2P5/8/8 w - - 0 43,f6h6
2kr1b1r/pp1n1p1p/2p1p2p/q3P3/3P2PN/P1NQ3P/1PP5/2KR3R b - - 2 15,d7e5
8/1R6/3bk3/2p1p3/2P1K1p1/1P4P1/2n5/8 b - - 10 48,c2d4
r1bqk2r/pp2bppp/2np1n2/2p3B1/4P3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 2 8,f1c4
r1b1k2r/1pq2ppp/p3pb2/4n3/5B2/1B5P/PP2QPP1/RN3RK1 w kq - 2 15,f1e1
4r2k/1pqb3p/p6p/8/3p1p2/PB1P2P1/1PP2PK1/R2N1R2 b - - 1 23,c7c5
8/pB6/P7/4k3/3p4/r7/3K4/8 b - - 11 58,a3c3
2kr3r/ppp1qppp/2n5/3n4/2B5/P3Pb2/1P1N1PPP/R2Q1RK1 w - - 0 13,d1f3
r1bqr3/pp4Q1/3bkpPB/2p1p3/4P3/N1P5/PP3PP1/R3K2R w KQ - 1 19,g7f7
rn3rk1/pp5p/3p2pQ/2pP4/2P1N1b1/5qP1/Pb3P1P/4RK1R w - - 0 22,f1g1
5rk1/8/4p1p1/p2pP1P1/P1p4P/2P1R1K1/3r4/R7 w - - 1 34,a1b1
6R1/8/8/1kp5/8/8/2K5/4b3 b - - 8 66,e1h4
1k5r/pp3ppp/4p3/8/2PBn3/P4r2/K4P1P/2R4R w - - 4 21,h1e1
1B6/8/6n1/1kP4p/6bP/4K1P1/8/8 w - - 1 40,b8d6
r2q1n1r/pp4pk/2p1Bp2/8/3P1BR1/5N2/PPP2PPP/R2Q2K1 w - - 1 21,g4h4
2r5/3k1Rp1/p1p3rp/Pp6/1P1P4/4P1P1/4KPP1/2R5 b - - 0 41,d7d6
r3r1k1/p1pn2p1/1pq4p/3pP3/3P4/P2Q2P1/1PP4P/2KR1R2 b - - 0 23,e8f8
r1b2rk1/2qnbppp/2p1pn2/2Np4/Pp1P1P2/3BP3/6PP/R1BQK1NR b KQ - 0 13,d7c5
r4rk1/p4ppp/1p6/2b5/6Q1/P3qB1P/1PP3P1/1K1R3R w - - 4 22,h1e1
2k4r/1pp5/4p1p1/2B2pQ1/2P5/3r1qPp/R6P/4R1K1 b - - 0 25,b7b6
3r2k1/3r1pp1/pQ1Pp1bp/P7/8/6BP/q4PP1/2R1R1K1 b - - 8 32,g6d3
1k1r3r/pb3pp1/1pp1pn2/8/R3P3/1BP5/P1P2PPP/R5K1 w - - 7 18,e4e5
2r2rk1/2b2pp1/1pp4p/pP2qP2/3pP3/P2P2PP/2R1K3/4QBR1 w - - 1 32,b5c6
r1b1kb1r/ppp2ppp/2n2n2/4p2P/2P2P2/3P1Bq1/PP6/RNBQ1KNR w kq - 0 11,b1c3
6k1/p6p/q5pP/7r/5K2/2n5/8/8 w - - 7 39,f4g4
4rk1r/pppq1ppp/3p1n2/n2P4/2P3b1/2P2NP1/P3QPBP/R1B1R1K1 w - - 6 14,e2f1
r4rk1/pp2p1b1/1qp1b3/3p1P1Q/3P2P1/2N5/PPP1P3/2KR1B1R b - - 0 20,e6d7
4r3/3b4/5k2/2pP1p2/1pP2KpP/1P6/7R/1B6 w - - 5 46,h2d2
r3k2r/pb1pqp1p/1p4p1/6N1/5Q2/1B6/PPP2KPP/R6R b kq - 0 17,e7c5
8/8/8/4P3/2PP1p2/1P1K1k2/P1N5/8 w - - 0 43,e5e6
1nb1kbnr/1p4pp/2p2q2/r2p1pP1/3PpP2/P1N1P2P/2P3B1/R1BQK1NR b KQk - 0 11,f6f7
r3r1k1/pp2pp2/2p2np1/2q3N1/8/6PP/PP2QP2/3R2K1 b - - 5 23,c5g5
8/4k2p/1R6/P1K1P3/8/8/b6P/8 b - - 12 48,a2e6
r1b1kb1r/p4ppp/n1p1p3/1p2P3/3P1q2/PB6/1P1B1PPP/R2QK1NR w KQkq - 1 12,d2f4
r2q1rk1/ppp2ppp/2n1bb2/3Np3/4P3/3P1N2/PP2BPPP/R2Q1RK1 w - - 2 11,d1b3
2rr2k1/5pp1/p1n4p/1p2q3/3pb3/Q4B2/P4PPP/3R1RK1 w - - 16 30,d1e1
3R4/1p3pkp/p4p2/8/1P3P2/P2RK1PP/r7/8 b - - 6 29,h7h6
r3k2r/1pp1npp1/p2p2bp/4p1b1/2B3Pq/3PBQNP/PPP2P1K/R4R2 w kq - 6 15,f3b7
r5qk/pppbn2p/3p2p1/1PP5/P2PP3/5Q1P/6P1/5RK1 b - - 0 28,g8g7
5r2/4N1pk/4p1p1/p1p2n2/7K/2r5/P2n1P1P/6R1 w - - 2 31,e7f5
rnbq1rk1/p4ppn/2pb3p/1p1p4/3P4/2NB4/P1PQ1PPP/R1B2RK1 w - - 0 13,d2e2
r6r/3Rkp2/p1n2p1p/1pN1p3/8/1BP5/P1P2PPP/R5K1 b - - 0 18,e7f8
1r4k1/5p2/1p6/6P1/4p2P/1PP1Pb2/R7/2Rr2K1 w - - 3 37,c1d1
r4rk1/pp3ppp/8/P2n4/1P6/2bN2NP/5PP1/1RR3K1 b - - 2 23,f8e8
r1bbk2r/pp3ppp/2n1p3/2p5/4PP2/2N2N2/PPP3PP/R1B1K2R w KQkq - 0 10,c1e3
R7/2p1p1kp/6p1/1p2b3/1P4r1/2P3N1/1P5P/6K1 w - - 2 33,g1g2
1r3rk1/p1p3pp/2pq1p2/4p3/2Pp4/P2Q1N1P/5PP1/BR4K1 b - - 2 22,b8b1
rnb1k2r/pppp1ppp/7n/4N3/1q2P3/3PPQPB/PPP4P/RN2K2R w KQ - 3 10,b1c3
8/8/4k3/6p1/8/4N2P/r5PK/8 b - - 12 59,e6d6
8/8/6P1/5P2/6QK/5k2/8/8 b - - 4 61,f3e3
6k1/5ppp/4p3/2npq3/6PP/4PK2/8/8 b - - 1 40,h7h6
r3r1k1/ppp2pp1/7p/1bN5/1PP1P3/P2Pq3/6PP/R2Q3K b - - 0 21,b5c6
rn3rk1/pb2qp1p/1p1p2p1/7n/8/2N1Q3/PPP2PPP/R3K1NR b KQ - 1 16,e7e3
rn2k2r/1bqpnpbp/1pp1p1p1/p7/3PP3/2N2N2/PPPBBPPP/R2Q1RK1 w kq - 1 10,e4e5
3r4/p1p2r1k/1pn2P2/3N4/2p5/3b4/PP1R1PPP/5RK1 w - - 2 21,d5e7
8/6B1/4k3/8/7P/8/5PP1/6K1 b - - 0 46,e6f7
8/p7/1p2Q3/2k2Q1B/6P1/1P5P/P3KP2/8 b - - 4 37,c5d4
r3r1k1/5p1p/6p1/ppPN1b2/3P1N1b/P3P2P/1P1K2P1/R4R2 w - - 0 26,g2g4
5rk1/1p3ppn/1pnp3p/8/2BP4/1P5q/P4P1P/Q1R4K b - - 1 27,h3f3
4rk1r/p1Q3p1/2pp3p/8/3P1Pb1/2PK2P1/PP5q/RNB5 w - - 0 21,d3c4
r1bqk1r1/pppp1p2/5n2/2b1p1B1/2P1P3/2N5/PPP2PPP/R2QK2R w KQq - 1 11,h2h4
8/1kp5/8/6p1/3n2P1/1p6/pK5P/1R6 w - - 4 47,b1h1
r1b1kb1N/pppp2pp/5n2/8/8/5n2/PPPPKP2/RNBQ1B1q w q - 6 13,d2d4
r1br2k1/ppp2p1p/6p1/4bp2/2B5/2N4P/PPP2PP1/R4RK1 b - - 1 13,e5c3
2rq1rk1/pp3ppp/2nbpn2/3p2B1/3P2N1/7P/PPP1NPP1/R2Q1RK1 b - - 4 13,d6e7
r4rk1/ppp2ppp/5n2/5P2/1bP1q3/8/PP1P2PP/R1BK3R b - - 1 15,f6g4
8/kpp5/p7/6p1/1PP2pPp/3QbP1P/P5K1/2q5 b - - 4 39,c1g1
8/6k1/1p3q2/4Q3/5P1p/7P/1P4PK/8 w - - 2 43,e5f6
r1b1kb1r/ppp2ppp/5n2/3Pn3/1qB2B2/2N5/PPP2PPP/R2QK1NR w KQkq - 6 8,d1e2
r1bq1rk1/1pp2p2/1pnp4/4p1B1/1P2P3/2PP4/P2QBPP1/R3K2R b KQ - 0 16,f7f6
5r1k/p1p1n1pp/1p1b4/4pq2/8/1P1QP1P1/PBP2PKP/R4R2 b - - 2 23,e5e4
r4rk1/1q2pp1p/2p3p1/p2p4/N2bn3/PB3Q2/1PP2PPP/2KR4 w - - 0 19,d1d4
2k5/1p1r1p1p/pp6/8/8/8/6p1/2K5 b - - 1 45,h7h6
8/1p5p/p1p3p1/2Pn1p2/PPk5/6P1/3BK2P/8 w - - 3 38,e2f3
r7/6pp/5p2/2k1p3/6P1/1PRK1P1P/8/8 b - - 0 34,c5d5
r1b2rk1/pp1p1pbp/2n3p1/2pQP1B1/2B5/P1q2N2/2P2PPP/R4RK1 w - - 0 13,a1e1
8/8/8/6K1/2Q3Pp/p6P/2p5/1k6 w - - 6 57,c4b3
8/4R2k/5rp1/1p1p1p1p/p1bP3P/P5P1/1P3P2/1R4K1 b - - 1 31,h7h6
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/2B1P3/P4NP1/1PPP1P1P/RNBQK2R b KQkq - 0 5,f6e4
rnb1kbnr/pp1p1pp1/2q1p2p/1B6/1P3B2/P1N1P3/2Q2PPP/R3K1NR b KQkq - 2 10,c6g2
r5k1/7p/p1p3p1/1pP2b2/4rP2/1P5P/P4K2/3RR3 b - - 1 27,e4e1
r2q1rk1/ppp1b1p1/7p/nPPpQ1n1/6P1/P3P3/3N1PP1/R1B1KB1R b KQ - 0 19,e7f6
2kr3r/1p2pp2/p7/2pp4/P4PPp/2P2P2/2P4K/R3R3 b - - 1 24,d8e8
r5k1/1b2qpb1/2p2n2/r3p1p1/P7/1Q2PBB1/1PN2PP1/2KR3R b - - 2 28,a5a4
rn1qk2r/ppp2ppp/4p3/3p1b2/1bPPnB2/P1N2N2/1P1QPPPP/R3KB1R b KQkq - 0 7,e4d2
4r2k/6pp/4B3/1p6/p7/PP1p4/8/K1R5 w - - 0 37,e6g4
r1b2rk1/p2p1pb1/1qp1p2p/6pn/4P3/1B4B1/PPP1NPPP/R2QR1K1 b - - 3 14,h5g3
r2qk2r/ppp1bppp/2n1p3/3n4/2BP2b1/5N2/PPP2PPP/RNBQR1K1 w kq - 2 8,c2c3
r2qk2r/p1pp2pp/1p2pn2/n1P2p2/3P1B2/2PQPP2/P3N1PP/R4RK1 b kq - 0 12,f6h5
r4r1k/1R5p/p1P2p2/3B1R2/2p5/3p2P1/q6P/3Q2K1 b - - 1 26,a2e2
2k1r1r1/pp4bp/2p3p1/1N2Bp2/3Pn3/1P2P1R1/P4K1P/2R5 w - - 10 26,f2f3
r3k2r/pp3ppp/3b4/8/3PP1n1/1P4P1/PB1Q1P1q/RN2RK2 b kq - 1 18,e8g8
r1bn1rk1/ppp1n1pp/5p2/8/1N6/2B5/PPP1PPPP/R3KB1R w KQ - 4 11,e1c1
1n1qkbnr/1b2pppp/2pp4/8/Q2PP3/P1NB4/1P3PPP/R1B1K1NR w KQk - 0 10,a4b3
8/p3Nk2/1p6/6pp/2P5/1P2KP1r/P7/8 w - - 6 49,e7f5
8/7R/4kp2/4n1rP/8/8/5K2/8 w - - 1 52,h7h8
r1b1k1nr/pp2p2p/2np1pp1/8/2q1P3/2B2Q2/5PPP/R4RK1 w kq - 2 18,f3g3
3r1rk1/1p2npp1/pN1p3p/Q3p3/P3bnq1/B4PP1/5K1P/2RBR3 b - - 2 27,g4h3
8/4R3/8/6p1/6P1/p4R2/P1k5/4K3 w - - 2 45,f3h3
r1bq1rk1/pp4b1/4pnpp/3p1p2/3PN2P/2P3P1/PP1N1PB1/R1BQR1K1 b - - 0 14,f5e4
rn1q1rk1/pp1b2p1/2pbpn1p/3p1p2/3P3B/2N1PN1P/PPP2PP1/R2QKB1R b KQ - 1 10,g7g5
8/ppR3r1/3pkp2/3p4/3Pp1p1/4P1Q1/PPP2P2/2K5 w - - 0 33,c7g7
rn1q1rk1/pp1nbppp/2p1p3/3pP3/3P1P2/2NQ1N2/PPP3PP/R1B2RK1 b - - 5 10,c6c5
r1b1k2r/ppN1bpp1/2np1n2/4p1pP/4P3/3P4/PPP2PP1/R2QKB1R b KQkq - 0 12,e8d8
r4rk1/ppp3pp/4q1n1/6N1/2P5/1P6/P4PPP/R2Q1RK1 b - - 4 19,e6f5
2kr3r/pp1q2bp/2p5/3p1Q2/8/1NP1P3/PP3PPP/R3K2R w KQ - 1 17,f5d7
8/1B6/7P/8/1p2P1P1/1P2k3/P7/1K6 b - - 0 45,e3f4
2kr4/ppp1q3/2nppnr1/4p3/4P2B/P1PP1Q2/2P2PPP/R2R2K1 w - - 5 19,h4g3
2kb4/p1p2p2/p2p4/8/1Q1P4/P2R1N2/1PP3P1/1K5q w - - 8 27,b1a2
r3r1k1/ppp2pq1/2b1p1p1/8/5PPQ/3PnN2/PPP1B2P/R4RK1 w - - 5 24,f3e5
r4rk1/pp1n1ppp/q1p1p3/4P3/PP1P4/2B2Q2/2P2PPP/R3R1K1 b - - 0 18,d7b6
2b5/5ppk/3R3p/p3r3/2p4P/P1P2PP1/6BK/8 w - - 4 39,g2f1
r1b1kb1r/ppp2ppp/2n2n2/q3P3/8/2NQ1N2/PPP2PPP/R1B1KB1R b KQkq - 0 7,f6g4
5k2/1p3p2/7p/r2P2pb/8/5P1P/6P1/3R2K1 w - - 2 33,g2g4
5k2/4r2b/p1Bp1n2/Ppp2p2/5P2/1P1P4/3K2R1/8 w - - 5 50,g2e2
rn1qk1nr/pbp2pbp/1p1pp1p1/8/2PPP3/3BBN1P/PP3PP1/RN1QK2R b KQkq - 2 7,c7c5
r6r/8/2p1k2p/p1p5/PpNnPp2/1P3P1P/R1P3P1/4R1K1 b - - 0 29,h8g8
r3k2r/ppq2p2/2pn3p/6p1/2B2p2/1PN5/PB4PP/n2Q2K1 w kq - 0 19,c4f7
rnbq1rk1/pp3ppp/3ppb2/2p5/8/2PP2P1/PP1NPPBP/RN1QK2R b KQ - 1 8,d6d5
7r/4b1pp/2k5/2pp4/4p3/2B5/PP1R1PKP/3R4 b - - 3 32,h8d8
r2q1rk1/ppp2ppp/2nbp3/3p4/3P2P1/2PBPQ1P/PP1K1P2/R1B4R w - - 1 12,e3e4
4r1k1/5pp1/p1p4p/1pN2n2/1P6/P1qP4/2P2PPP/R1Q3K1 b - - 1 25,f5d4
r4rk1/5pb1/2p1p3/p1Pq2p1/P1pB4/6P1/4N1QP/1R2R1K1 b - - 0 30,g7d4
r3r3/6kp/1p1p2p1/p1b2p2/R1P5/1P6/1P1R3P/7K w - - 0 31,b3b4
8/5p1p/p2k4/1pR5/3B4/1P2P1P1/P6P/6K1 w - - 4 34,a2a4
2r2k2/5p2/1N4p1/7p/2n5/5P2/2P3KP/2R5 b - - 4 44,c4b6
rnbqkb1r/pp2pppp/1n6/8/2Pp4/4BN2/PP3PPP/RN1QKB1R w KQkq - 0 7,d1d4
4n1k1/p4p1p/1p2p1p1/3q4/1P6/P3P1P1/1QP1KP1P/8 w - - 6 31,b2c3
r3kb1r/pp2pppp/2pn4/8/5P2/1PN1B2P/P1b1KPB1/R6R b kq - 1 15,c2f5
r1b2rk1/pp2qppp/2p1pn2/8/3P2N1/2P4P/P1PQBPP1/R4RK1 b - - 4 14,f6g4
6r1/8/1k6/2p1n3/7P/4R1P1/6K1/8 b - - 1 45,e5g4
r2qk3/ppp1b2r/8/3b1p1p/PP6/6P1/1B2PP1P/RN1Q1RK1 w q - 0 17,b1c3
3k4/pp6/2p2np1/2P5/5P2/8/PP2K3/8 b - - 3 33,d8d7
8/7p/1Qpp3k/4pb2/2P5/1N2P2P/PP3K2/8 b - - 2 31,h6g7
rn1k3r/pbp1p2p/1p3np1/4p3/8/2P2N2/PBP1BPPP/R4RK1 w - - 0 12,f3e5
rnbqk1nr/pp1pbppp/2p5/8/2B1Pp2/2N5/PPPP2PP/R1BQK1NR w KQkq - 2 5,g1f3
r2q1k1r/2nbbpp1/2p4n/p2pP2p/3P1B2/3B1N1P/PP1NQPP1/2R2RK1 w - - 2 18,f4e3
6r1/pkp1r3/1p6/3Rp3/4P1PP/5P2/PPP5/3R2K1 b - - 0 28,e7h7
6k1/1p4p1/5n1p/3pq3/8/PpP2Q1P/1P4P1/5RK1 b - - 0 26,f6e4
r2qkb1r/pp3ppp/2n1p3/2ppPn2/3P1P2/2P2N2/PP4PP/RNBQK2R w KQkq - 0 9,d4c5
3K4/r1P5/1R6/4k3/8/8/8/8 b - - 4 60,a7c7
2r1r3/5pk1/p4np1/Pp1p2p1/3Pp3/4P1N1/1RP2PPP/3R2K1 w - - 0 27,g3e2
r1b1k1nr/ppp2ppp/8/1N2b3/4p3/4P3/PP1P1PPP/R1BQK2R w KQkq - 1 10,d2d4
N7/pp1k1pp1/6q1/5Q2/8/2PK4/1P5P/8 b - - 0 29,g6f5
r2q1rk1/pp3pbp/3pb3/2p5/5P2/2N1Q3/PPP3PP/R1B2RK1 b - - 0 13,g7d4
4rk1r/ppp2p1p/3p3n/7q/6b1/8/PPPQN1PP/R3R2K w - - 1 19,e2g3
6k1/1p3p2/p5p1/8/P5q1/8/2P5/3Q2K1 w - - 1 40,d1g4
2r1r1k1/pp1b1p1p/2pq2p1/4p3/P3P3/3B4/1PQ2PPP/R4RK1 w - - 0 20,d3c4
8/7p/1bbk2p1/p2p4/4p3/1PK1P3/5PPP/3B4 w - - 14 34,d1e2
Nnb2rk1/p4ppp/2p4n/4p3/PpBPp3/1PP2PqP/RB4P1/3Q1RK1 b - d3 0 24,h6f5
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/3BP3/PP1N1PPP/R1BQK1NR b KQkq - 3 5,e8g8
rnbq1rk1/pp2bppp/4pn2/2pp4/4P3/2PP1PN1/PP4PP/RNBQKB1R w KQ - 0 7,f1e2
r1bqkb1r/p2n1ppp/2Qppn2/6B1/Np1P4/1B6/PPP2PPP/R3K1NR w KQkq - 0 10,c6a8
1b1r2k1/1p3pp1/p1q1b2p/3rN3/3P4/1PB1R2P/P2Q1PP1/4R1K1 b - - 9 28,b8e5
1R5r/p1N1b1pp/2n1pnk1/6N1/6b1/3qP3/P2P1PPP/2BQ1RK1 b - - 0 15,g4d1
r6r/1b1kb1pp/ppnB4/7P/8/2NR1N2/PPP2PP1/2KR4 b - - 0 20,h8d8
r4nk1/pR3rpp/n1p1p1p1/2P1P1B1/2P3B1/8/P4PPP/5RK1 w - - 1 23,b7f7
r5k1/2N2n1p/6pq/8/2Q5/P2P4/KPP5/4r3 b - - 1 35,a8b8
2r3k1/1p3p2/4p1p1/3p2Pp/1P3q1P/2PQR3/3K4/8 b - - 1 35,c8a8
2r1k2r/5pp1/p1pb1n2/2pp4/8/1P2P1Nq/PBPP3P/1R1Q2KR w k - 5 22,d1f1
2r3k1/p1p1Rp1p/1pB3p1/8/5P2/2P2P2/P2n3P/R5K1 w - - 1 26,a1e1
rn1qkb1r/p1pp1ppp/1p2p3/5n2/2BP4/P3PQ2/1PP2PPP/RNB2RK1 b kq - 0 7,d7d5
6k1/pp3ppp/8/8/P4P2/3qr1P1/5K1P/2B5 w - - 0 26,c1e3
8/3r4/5ppB/pk2p2p/7P/P1KN1P2/6P1/8 b - - 1 43,d7c7
2rq1nkr/1p1bbpp1/p1n1p2p/3pP3/1P1P3P/P2BBNP1/2RQNP2/5RK1 b - - 1 22,c6a7
r5k1/pb5p/5rp1/1qpp4/Rn5P/8/1PPN1PP1/1N1QR1K1 w - - 0 23,a4a3
8/6pk/7p/rp6/2R2P2/7P/6K1/8 w - - 0 37,c4c8
1r6/7k/1q3pp1/7p/8/7P/1p4P1/1Q3R1K w - - 10 46,f1d1
2k5/2p3P1/6K1/8/8/8/1R1b1r2/8 b - - 2 57,f2g2
2kr1bnr/ppp3pp/3q4/3pn3/P7/4PN1P/1PP3P1/R1BQKB1R w KQ - 0 11,f3e5
5r2/Rp3pk1/4p1p1/1P1bN1p1/3P1nP1/5PK1/8/8 b - - 2 35,f4e2
rn1qkb1r/p4pp1/2p2n1p/1p1p3b/3P3B/1QNBPP2/PP4PP/R3K1NR w KQkq - 0 11,h4f6
2b2rk1/5p2/4rqp1/p5p1/5b2/P1P2N1P/1P2QPP1/1B1RR1K1 w - - 3 36,e2c2
3Q1k2/5p2/p3r2p/1bP5/1P6/3PrPPP/3RPK2/8 b - - 7 45,b5e8
5rk1/ppp2p2/8/2q1P2p/5Pb1/2KB4/P1P5/5R1R w - - 2 26,c3b2
r3rk2/pp3ppQ/2p1b2p/q2pP3/3P1Pn1/bP4P1/P1B4P/4RRK1 w - - 3 25,h2h3
7k/1pp3pp/p7/2PP4/1P6/P7/3q4/6K1 b - - 1 36,d2d1
4k3/4r1p1/1R5p/5K2/P1p5/7P/5PP1/3q4 b - - 0 46,d1h5
2r1r1k1/p4pbp/1p4p1/3B3q/8/5PP1/PP2Q1KP/R2R4 w - - 2 25,e2d3
r1b2rk1/1pp2pp1/p2p3p/4n1qN/1PB1PP2/P7/1Q4PP/R3R1K1 b - - 0 19,e5c4
r2q3r/pp3kpp/1n1bpn2/3p4/2pP4/2P1P1B1/PP1NQPPP/R4RK1 b - - 1 13,d6g3
8/1k1B4/p1np4/1p6/3PRP1p/P1P4P/KP3q2/8 b - - 1 40,f2g2
r2q2nr/pppk2p1/3pn3/3N1P1p/5B1b/3B2PP/PPP2P2/R4RK1 b - - 0 16,e6f4
4k2r/2p1nppb/2nbpq1p/1p1p3P/1P1P2P1/2NBPP2/2P1NB2/Q3K2R b Kk - 0 16,f6f3
