FEN,Moves
4q3/2K5/7q/8/8/2k5/8/3q1qq1 b - - 5 77,h6h7 h6g7 h6c6 h6b6 g1g7 g1a7 g1b6 f1f7 d1d7
Q7/2k5/4p1pp/4Pp2/1Q6/1N2PPPP/6K1/8 w - - 1 42,b4b7 b4d6
QQR1Q3/8/8/6K1/3k4/8/8/8 w - - 13 68,e8e4 b8d6 a8e4
5k2/Q7/2K1Q3/8/8/8/8/8 w - - 7 59,a7f7 a7e7 e6c8 e6f7
8/7N/p5p1/1q1k3P/8/4q3/P7/K3n3 b - - 2 48,e3e5 e3d4 e3c3 e3c1 e1c2
2Q5/4kp2/4p1p1/3pn3/3PN3/7P/5PPK/1Q6 w - - 1 46,b1b4
2Q1r1k1/p6p/6p1/5p1P/1P2qP2/2Q3PK/P7/4q3 b - - 0 43,e4h1 e1h1
r1b2Qnr/1p1k2pp/p7/1p2Q3/5B2/8/PP3PPP/RN1K3R w - - 1 16,f8e8 f8d6 e5e8 e5d6 e5d5
NQbk2r1/p3bpqp/B3pn2/8/3P1p2/4PN2/PP3PPP/R2Q1RK1 b - - 2 16,g7g2
8/PQ6/1Q6/8/4Nk2/7K/8/6B1 w - - 1 60,b6f6
5R2/6rk/p7/1p3R2/1P1P4/1P6/KP6/4qq2 b - - 0 50,e1a1
8/8/1p3k2/p4p2/7K/2b5/6q1/5q2 b - - 3 57,g2g5 g2g4 g2h3 g2h2 f1h1
2b1k2r/p1rp4/3P2p1/1p2P3/1P4q1/K1B4q/P7/5q2 b k - 1 43,h3c3
7k/1p4p1/2r4p/P7/KP5q/2q5/8/8 b - - 5 53,h4b4 c3b4
8/5k2/p6b/4p1P1/4P1q1/8/5PPK/4q3 b - - 2 40,g4h4
2Q5/1Q6/8/k7/4P3/8/2K5/8 w - - 9 54,c8a8
2Q5/5p2/6pk/3pQ2p/4p3/4P3/3BBPPP/6K1 w - - 2 38,c8h8
2Q5/8/8/Q7/8/Pk6/1P6/1K6 w - - 1 55,c8g8 c8e6 c8c3 c8c2 a5b5 a5b4
8/2P5/2QQ2pk/2K2p2/5P1P/6P1/8/8 w - - 3 60,d6g6
2k4r/1p3p2/1Kp1bP1p/8/1b6/8/3q3P/4q3 b - - 1 32,d2d4 d2e3 d2f2 e1e3 e1f2 e1g1
7R/2p5/2k3B1/4Q3/1Qb5/1p2P3/1P3PP1/R3K3 w Q - 1 31,g6e8
7k/7p/7P/1q1q4/8/2K5/8/8 b - - 2 59,d5d3 b5b3
8/p6p/1p6/3pR3/3q3k/6r1/2K1R3/5q2 b - - 1 54,d4c3 f1d1
8/8/1P2P3/4b3/8/B1Q5/PKB1k3/RNQR4 w - - 8 107,d1d2 c1e3 c1d2
2Q5/4Q3/8/8/3k4/5PP1/6K1/8 w - - 5 56,e7e4
3K4/8/4qk2/8/3n4/3q4/8/8 b - - 3 75,d4b5
7K/p7/3b4/1k2p3/3p4/6q1/8/6q1 b - - 3 58,g3g8 g3g7 g3h4 g3h3 g3h2 g1h2 g1h1
8/p2k4/8/8/5qq1/8/3n4/4K3 b - - 11 70,f4e3
2Q5/8/1Q6/8/8/k7/6K1/8 w - - 3 72,c8a8 c8a6
8/8/3QQ3/5pkp/B5p1/6P1/5PKP/8 w - - 0 39,e6g8 e6e7 e6h6 e6g6 e6f6 d6d8 d6e7 d6f4
2k5/p5Q1/7Q/2p3K1/8/2P5/PP6/1B6 w - - 7 53,h6h8
5k2/5pp1/3p2n1/4q3/8/5K2/2q5/8 b - - 9 61,e5f4 c2e2
r4rk1/7p/8/p6K/4q3/8/5qbn/5q2 b - - 1 50,e4g6 e4h4 f2h4
7b/6qP/8/1k6/7K/5q2/8/8 b - - 9 60,g7e7 g7h6 g7f6 g7g4 g7g3 f3g4 f3h1
2k5/2p4p/1p6/1q6/6p1/6P1/6K1/q7 b - - 1 42,b5e2 b5b2
3Q4/1P4k1/4Q2p/6p1/pP6/P5P1/5P1P/6K1 w - - 1 44,d8g8 e6g8
QQ6/6k1/8/8/2B1NQ2/6P1/7P/3K2BR w - - 1 52,b8g8
4k3/7Q/8/6Q1/8/2B5/PP6/2K5 w - - 0 56,h7e7 g5g8 g5e7
4r2k/p5pp/5p2/3P1P2/1B6/6QP/6PK/q3q3 b - - 1 36,e1h1 e1g1
8/6k1/3p2p1/4p3/5q2/8/5q2/7K b - - 5 52,f4h6 f4h4 f4e4 f4f3 f4h2 f4c1 f2h2 f2f1
Q1Q4Q/8/3k4/8/8/2p4P/6PK/8 w - - 2 51,h8f6
8/5p2/8/8/7b/4qk2/2K5/6q1 b - - 1 64,g1c1
1k6/6Q1/4Q3/8/8/3N4/1P2K3/8 w - - 3 53,e6g8 e6e8
r3r3/ppp2kp1/7p/8/5KP1/2q5/8/3n3q b - - 4 36,c3e5 c3f3 h1e4 h1f3 h1f1
8/1p6/p2p4/P7/4qk2/8/7K/2q5 b - - 1 54,e4h1 c1h1
6k1/7p/6P1/8/8/5P2/1q1q2PK/8 b - - 0 40,d2g2
1Q6/2Q5/k7/7K/8/7P/8/8 w - - 9 70,b8b7 b8b6 c7a7 c7b6
r7/1bpQ4/1p2p3/p2pP1n1/1k4P1/4K3/1PQ5/1N6 w - - 11 35,d7a4 c2c3
7q/5K1P/3kp3/5p2/5Pp1/5bP1/8/7q b - - 3 64,h1h7 h1h5
8/6p1/8/6k1/K7/8/1q6/2q5 b - - 17 51,c1a1
rn1kbQ2/ppp1pQ1p/8/3p4/3P4/3BP3/PPP3PP/RNB1R1K1 w - - 1 20,f8e8 f7e8
8/6kp/4p3/4K3/6PP/1q6/5P2/2q5 b - - 2 46,b3d5
8/8/8/8/8/4Q1P1/5Q1P/k5K1 w - - 3 51,e3e1 e3c1
5Q2/6Q1/8/5K2/1B1P3k/8/8/8 w - - 9 48,f8h8 g7g4
3k4/8/5K2/4NQ2/4Q3/8/8/8 w - - 13 101,f5d7
5Q2/8/6p1/6k1/4B2p/5Q1P/5PP1/2R3K1 w - - 3 44,f8f4 f3g4 c1c5
6Q1/5Qp1/7p/4Kbk1/8/7P/8/1r6 w - - 5 56,g8d8
6Q1/2p5/2p2K2/k1P5/p7/P1P5/4Q3/8 w - - 3 58,g8a8
6k1/1p5p/2P2Kp1/5n2/4q3/8/3q4/8 b - - 4 44,e4e7 d2d8
8/8/3K4/5k2/8/1q6/8/2q1rb2 b - - 3 58,b3e6 b3d3 b3d1
2k5/ppp3p1/2p5/P7/1P1Nq3/2P5/3K4/5q2 b - - 4 36,e4d3 f1e1
7Q/3Qp3/p5p1/2k5/1qp2P2/2N5/P1b3P1/K2R4 w - - 0 30,h8d4 d7c7
8/5q2/q7/2K5/6k1/8/8/8 b - - 3 68,f7c4
8/p7/kp2Q3/5Q2/8/8/PPP2PP1/6K1 w - - 9 40,e6c8
8/pp6/4k3/q7/4K3/8/8/2q5 b - - 1 50,a5d5
8/4Q3/p7/4Q2p/6p1/1P3p1k/P4P1P/6K1 w - - 5 49,e5h5 e5g3
1B6/3Q4/8/8/p7/5k2/K1Q5/8 w - - 11 52,d7h3
1r4k1/n1p2ppp/7P/3K4/8/8/2q5/4q3 b - - 3 41,b8d8 e1e4
8/6R1/3k4/5Q1p/1K6/1P5p/5Q2/8 w - - 3 52,f2b6 f2c5
2k1K3/pp6/6r1/6r1/P1n5/8/8/5r2 b - - 5 43,g6e6 g5e5
8/p5p1/P1q5/3p4/1K4k1/6P1/8/2q5 b - - 3 51,c1c3
8/6kp/2p3p1/1p1p4/pP1P1r2/P1P3q1/3K4/5q2 b - - 1 40,f4f2 g3d3 g3f2
8/8/3K2kp/1p4q1/4q3/8/8/8 b - - 11 66,g5e7
8/R7/1P3P2/7Q/P4kp1/2Q5/7P/6K1 w - - 7 54,h5e5
8/6K1/4p3/4k3/8/3q4/8/1b3q2 b - - 1 61,d3h7
8/8/1k6/8/7K/5q2/8/6q1 b - - 1 67,f3g4 f3h1 g1g4 g1g3
8/pk1r4/4p2n/2K5/6q1/5q2/8/8 b - - 7 68,d7d5 f3c6 f3f5 f3d5
r7/p2p1K2/2p2P2/6q1/8/5q2/8/7k b - - 0 43,g5f6 f3f6
Q7/8/8/6p1/5Q2/8/2KPk1p1/R7 w - - 0 42,a8e8 a8a6 a8e4 a8f3 a8g2 f4f3 f4e3
8/8/k7/2QB4/4P3/8/6PK/2Q5 w - - 3 54,c1h6 c1c4 c1a3 c1f1 c1a1
5Q2/8/2KQ4/8/4k3/8/8/8 w - - 5 76,f8f4
1Q6/8/8/8/1Q6/Q2BP3/5K2/3k4 w - - 5 60,b4e1 a3a1
r3k1nr/p1pn2p1/1p3p2/5q1p/8/q7/P4P1P/4bK2 b kq - 1 21,f5f2
7k/5q2/7K/b7/r7/8/8/6q1 b - - 1 53,f7h7 f7g6 a5d2 a4h4 g1g7 g1g6 g1e3 g1c1
4k3/2Q5/1Q6/8/7P/8/4K2P/8 w - - 7 54,b6b8
3K4/8/1pk5/p7/P2bq3/8/5q2/8 b - - 7 64,f2f8
7r/2r3pp/8/3k1p2/5P2/1q3P2/4K2P/2q5 b - - 3 39,c7c2 b3e3 b3c2
qqq3kq/qqq5/1rbr4/8/2K5/8/8/6q1 b - - 1 89,h8d4 c8e6 c8g4 c7f7 b7a6 a7a6 a7a4 a7a2 c6e8 c6d7 c6e4 c6a4 c6f3 c6g2 c6h1 b6b4 g1d4 g1c1
8/8/8/7K/8/6q1/6k1/5q2 b - - 5 82,f1h1
5K2/3q4/6p1/7p/8/3k4/8/4q3 b - - 7 73,e1e8
5q2/8/8/8/7k/6p1/4q3/6K1 b - - 13 74,f8f1 e2h2 e2f1
8/8/8/1K6/8/q1q5/8/1k6 b - - 5 73,c3c5 a3a5
6K1/8/8/5q2/4k3/8/8/7q b - - 1 65,h1h7
1Q6/8/8/B6K/7P/2Q5/k7/8 w - - 1 69,b8b3 b8b2 c3b2
8/7K/8/8/8/8/4k1q1/6q1 b - - 3 62,g2g7 g2h3 g2h2 g2h1 g1h2 g1h1
2Q5/8/8/8/7P/6Q1/6NK/5k2 w - - 1 75,c8a6 c8c4 g3f3 g3e1
4Q3/5p1p/3k4/4N1p1/3P4/5Q1P/5PP1/6K1 w - - 4 49,e8d7 f3c6
8/p7/2p5/p1P5/8/4q1k1/5q2/K7 b - - 1 66,e3e1 e3c1
1r6/6q1/3k4/3p4/5K2/8/8/7q b - - 1 68,h1e4
3k4/2p4p/6p1/4p1Kb/3q4/8/8/5q2 b - - 3 49,d4f4 f1f4
8/p6K/8/4q3/3q4/8/3k4/8 b - - 13 67,e5g7
2K5/4q3/2p5/3p4/bq6/6k1/8/8 b - - 2 63,b4b7
8/1b3k2/3K4/1p6/8/4q3/8/2q5 b - - 1 59,e3e7 e3e6 e3d4 c1c6
7k/7P/1p4K1/8/8/6n1/8/2qqq3 b - - 1 63,e1e6
1Q6/2Q5/k7/8/8/8/7P/6K1 w - - 11 47,b8b7 b8b6 c7a7 c7b6
6k1/6pp/2P3b1/8/1p6/1P2q2P/6PK/3q4 b - - 0 49,d1g1
8/1K3Rpk/3q1p1p/1p5P/q1p5/8/8/8 b - - 16 50,a4a6
8/8/8/8/4Q3/8/3k1K1P/1Q6 w - - 11 51,e4d4 e4b4 e4e3 e4d3 e4c2 e4e1 b1c2 b1e1
2K5/q4k2/1q4p1/8/7p/8/8/8 b - - 13 61,a7c7 a7b7 b6b8 b6c7
8/p7/P7/7k/5Q2/6Q1/1p5P/7K w - - 21 56,f4g5 f4h4 g3g5 g3g4
7Q/k7/3Q4/8/8/8/P4PK1/8 w - - 0 68,h8b8
1Q6/4r1k1/8/5Q2/2P5/3pp2P/PP3PP1/RNB2RK1 w - - 3 30,b8f8
8/7p/4k1nP/8/8/4q3/3q4/5K2 b - - 3 61,e3f2 e3e1 d2f2 d2e2
2k2r2/1pp5/p7/P2K4/3R4/8/2q5/5q2 b - - 2 43,c2f5 f1f5
1K6/8/8/3Q4/8/2k5/1N6/1Q6 w - - 1 57,b2a4 b2d1
8/3q1k1p/6p1/3p4/4b2K/5q2/8/8 b - - 2 58,d7d8 d7e7 d7g4 f3g4 f3f4
5k2/8/6Q1/pp5Q/P7/1P5K/8/8 w - - 10 62,g6f7 h5c5
4K1k1/2q2pp1/p3p2p/1p6/3q4/8/8/8 b - - 11 55,c7d8 c7d7 d4d8 d4d7
8/6p1/5pP1/K7/5PpP/3k4/1q6/1q6 b - - 3 59,b2b5 b2a3 b2a2 b2a1 b1a2 b1a1
r5k1/pr3p2/3p2pp/3P4/1p2q3/P5PP/5qNK/8 b - - 1 28,e4g2 f2g2
8/6q1/2kq4/5K2/8/8/8/8 b - - 5 60,g7g6 d6e5
4k3/pp6/8/3q4/7K/4q3/8/8 b - - 5 60,d5g5
8/8/3K1k2/5b2/8/2q5/8/1q5q b - - 5 89,c3c6 c3e5 h1c6 h1d1 b1b8 b1b6 b1b4 b1d3 b1d1
1k6/8/8/8/8/2bK4/5r2/q3q1qq b - - 5 60,h1d5 h1e4 g1f1 e1e4 e1e2 a1a6
8/8/8/3k4/5q1q/8/8/6K1 b - - 9 59,h4h2 f4f2
Q7/2p5/2Q5/6P1/pk5K/8/Pp6/8 w - - 2 61,a8a4
8/8/1Q3K2/8/2Q5/5k2/Q7/8 w - - 7 67,b6b3 b6f2 a2f2
Q7/8/7k/8/8/6Qp/7P/6K1 w - - 1 47,a8h8
8/8/8/8/8/4KQ2/Q7/6k1 w - - 4 63,f3g2 f3d1 a2g2 a2f2
8/6Q1/3K4/8/5kp1/7p/8/6Q1 w - - 5 51,g7g4
8/8/2p1k3/8/8/4K3/8/1q3q2 b - - 3 48,b1d3
4k3/8/8/q3p2R/3pP1p1/2bP1BPp/5K1P/1q6 b - - 1 50,b1e1
4Q1Q1/8/5k2/6p1/8/7P/6P1/7K w - - 0 56,g8f8 g8f7 g8g6 e8e6
8/8/8/k5N1/8/nQ1K4/Q5P1/8 w - - 3 66,a2a3
7k/4Q2p/p3p1p1/5p2/8/3bqP2/6PP/1q1R3K w - - 8 44,e7f8
r5k1/6pp/3r4/4p1P1/p6P/P1P2q2/7K/3q4 b - - 0 37,d6d2 d1h1
8/8/2n5/1p6/5k1K/5b2/r7/1qq5 b - - 1 53,a2h2 c1h1 b1h7
r3r3/p4p1k/3p1Kp1/8/2q5/8/p7/3q4 b - - 1 37,c4f4
1K6/8/8/8/1Q6/2Q5/8/3k4 w - - 7 66,b4g4 c3d2
8/8/6k1/2p4p/3p1K2/3q4/4q3/8 b - - 7 72,d3f3 d3e3 e2e4 e2e3 e2h2
8/8/8/5Qpk/5Q1p/7P/2K3P1/8 w - - 0 48,f5h7 f5g5 f4g5
8/8/7p/7k/4q3/8/3K4/6q1 b - - 1 58,g1e1
8/8/3QQ3/pk4B1/3P4/8/Pp3P1P/2R3K1 w - - 0 41,e6e8 e6d7 e6c4 e6b3
7Q/8/4P3/3N4/8/2b5/2QBK3/k7 w - - 3 54,h8c3 h8h1 d2c3
2Q5/1Q6/8/k4p1p/4p2P/4P3/5K2/8 w - - 3 57,c8a8
3Q4/1K6/8/6Q1/4k1P1/8/8/8 w - - 3 50,d8d5
2K5/4qppk/3q4/PP6/8/8/8/8 b - - 4 46,e7d7 e7c7 d6d8 d6c7
4Q3/5KQ1/8/5k2/8/8/8/8 w - - 13 63,e8e5
1q4k1/8/8/8/K4n2/8/p7/1q3qqq b - - 3 70,b8a8 b8a7 b8b4 h1a8 g1a7 f1a6 b1b4 a2a1q a2a1r
6k1/5ppp/4pq2/8/8/r6P/2K5/5q2 b - - 5 43,f6c3 f6f2
8/p7/6k1/p3p3/4P1P1/3qRK2/P4P2/5q2 b - - 9 54,f1h3
5Q1r/3knppp/4p3/2Qp4/p2P4/7b/PP2PPPP/RN2KBNR w KQ - 1 14,f8e7
2k5/5Q2/3Q4/8/P7/8/6K1/8 w - - 7 63,f7d7 f7c7 d6f8 d6c7
B5Q1/4Q3/5p1k/6pp/8/8/6PP/4K2R w K - 2 34,g8h7 g8g7 e7f8 e7h7 e7g7 e7f6
4q3/8/3K4/8/2k5/8/8/6q1 b - - 3 89,g1b6 g1c5 g1g3 g1h2
8/2p5/p3QQ2/7k/8/8/PPP3PP/1K6 w - - 3 35,f6h6 e6f5 e6h3 e6e2 g2g4
2QRQQ2/8/8/8/8/4B1K1/8/4k3 w - - 11 57,f8f2 e3a7 e3h6 e3b6 e3g5 e3c5 e3g1 e3c1
8/8/3K3k/5Q2/8/8/6Q1/8 w - - 9 60,f5g6 f5h3 g2g6 g2g5
8/6pk/p5q1/1p2q3/6RK/P6P/6P1/8 b - - 1 44,g6h6 g6h5
2Q5/8/6p1/5p1p/6kP/1P4P1/P2Q1PK1/8 w - - 0 40,d2g5 d2f4 d2d4 d2b4 d2e2 d2d1 f2f3
4N3/8/8/8/3Q1Q2/2P5/Pk4P1/R1R3K1 w - - 0 37,d4b4
1b4k1/7p/2p3p1/3q1p2/7P/BpP3P1/1P3P1K/4q3 b - - 1 44,d5h1 e1h1
Q7/2k5/R2p4/1Q2pK2/1P6/3P4/7r/8 w - - 0 45,a8b8 a6a7 b5b7 b5c6
5r2/7R/3Q2R1/8/8/1N3r2/1KQ5/5k2 w - - 5 60,h7h1 d6d1
3rQ1rk/pp3Qpp/2p2p1b/7P/4P3/P7/1PP5/1K3R1R w - - 1 33,f7g8
8/2pb2k1/1p2p3/4Kp2/1n6/8/8/3q2q1 b - - 1 59,b4d3 g1d4 g1g3 g1e3 g1h2 d1d6 d1d4
5q2/p7/8/8/7K/1k6/8/6q1 b - - 5 53,f8h8 f8h6
4QQ2/2Q5/8/3k4/6Q1/2R4B/7P/6K1 w - - 3 62,f8g8 f8f7 f8d6 f8f5 f8c5 f8f3 e8d8 e8a8 e8f7 e8d7 e8e6 e8c6 e8h5 e8e5 e8b5 e8e4 c7d8 c7f7 c7d7 c7b7 c7d6 c7c6 c7e5 c7c5 c7a5 c7c4 g4d7 g4e4 g4c4 g4d1 h3g2 c3c5 c3d3
2Q5/8/8/k3K3/8/8/8/1Q6 w - - 5 74,c8a8
8/8/4Q3/5Q2/3p3k/3K1P2/6P1/8 w - - 9 53,e6e1 f5g4
1Q6/8/2Q5/k7/8/8/1K6/8 w - - 11 63,b8b6 b8b5 c6a8 c6b5
R5R1/6R1/6R1/7k/8/8/1K6/8 w - - 17 70,g8h8 g7h7
7Q/8/5pQ1/8/3n1P2/2k5/2p5/2K5 b - - 0 46,d4b3 d4e2
4Q3/8/3B3Q/1B6/6k1/8/6P1/7K w - - 1 48,e8c8 e8d7 e8g6 e8e6 e8h5 e8e4 h6h5 h6f4 b5d7
7k/6p1/p2p2Pp/1q6/8/K7/8/1q6 b - - 5 53,b5a5 b5b4 b5b3 b1b3 b1b2 b1a1
8/7k/7n/K7/8/8/2q5/1q6 b - - 11 63,c2a2
1q6/8/8/K7/6k1/8/8/7q b - - 1 61,h1a8 h1a1
K7/8/8/8/8/1r1k4/1qq5/1qq5 b - - 11 70,b3a3 b2a3 b2a2 b2a1 b1a2 b1a1
8/3k4/Q7/2Q5/8/8/6K1/8 w - - 7 65,a6c8
8/8/8/7k/8/3K4/6Q1/4RQQ1 w - - 35 76,g2g5 g2h3 g2h2 g2h1 g1h2 g1h1
8/8/8/2Q5/6p1/Q7/5PK1/1k6 w - - 1 48,c5f5 c5c1
8/p5k1/P7/6K1/8/8/4q3/5q2 b - - 11 55,f1f6
5rk1/6p1/6K1/8/8/8/8/2qqq3 b - - 1 57,f8f6 e1e8 e1e6 e1e4 e1g3 e1g1 d1g4 c1h6
7b/8/8/8/K7/2q5/3r2k1/4q3 b - - 1 66,e1e8
1K6/4nk2/6p1/3q2P1/8/4q3/8/8 b - - 5 53,e3b6
8/8/7K/p4q2/P5q1/8/5k2/8 b - - 11 70,f5g6 f5h5 g4g6 g4g5
8/2K2p2/8/5r2/4k3/8/6p1/rr1rr3 b - - 1 74,f5c5
8/1Q6/3Q4/6kp/6p1/6P1/5PP1/5K2 w - - 4 58,b7d5 b7b5
1Q4Q1/8/1K6/8/8/6pk/8/8 w - - 0 61,g8g3 b8g3
5Q2/2B5/8/2K5/8/7k/8/4Q3 w - - 11 58,f8f3 e1g3
2Q5/k7/2Q3K1/8/8/8/P7/8 w - - 9 71,c8a8 c8c7 c8b7 c6c7 c6b7 c6a6 c6c5
8/p6p/kp4p1/3Q1p2/3Q4/8/PP4PP/6K1 w - - 0 40,d4a4
6k1/6b1/2p1p2p/1pP1P3/3K1P2/6q1/2R5/2N4q b - - 1 53,h1d5
8/p7/7k/p7/P1K5/2P5/2P2Q2/6Q1 w - - 7 52,f2h4 f2h2
8/4Q3/8/p7/P7/1p6/kP5P/3Q2K1 w - - 4 65,e7a3
6Q1/4k3/7Q/7K/8/8/8/8 w - - 1 67,h6e6
2k5/1pp5/5q1b/8/4p1p1/6P1/5P1K/1q6 b - - 5 38,f6f2
8/8/2K2k2/8/1q6/8/8/3q4 b - - 1 59,d1d6
8/4R3/8/7Q/1K3p2/2P2P2/5k1p/7Q w - - 3 58,h5h4 h5h2
6k1/5ppp/8/4q3/3qP1PK/7P/8/8 b - - 0 42,d4f2
r3kb1r/7p/4q3/5pK1/8/8/8/qq6 b kq - 1 39,e6h6
3K4/8/7k/8/3b2q1/8/5r2/4q3 b - - 1 56,d4b6
8/8/3q4/7K/8/7k/8/6q1 b - - 3 83,d6g6 g1g6 g1c5 g1g4
8/8/5N2/8/8/7Q/P1P3Q1/2K1k3 w - - 9 53,h3e6 h3h4 h3g3 h3e3 h3c3 h3h1 g2d2 g2f1
8/8/8/8/1k6/p2QQ3/P5P1/3B2K1 w - - 11 54,e3b6
8/8/5p1p/2k2PPP/2b5/4K3/1r6/3q3q b - - 0 49,h1f3 d1d4 d1f3 d1d2 d1c1
8/7Q/k7/2Q3N1/6K1/8/6P1/8 w - - 3 57,h7a7
8/2Q3p1/1B2Qp1p/3pp1k1/8/4PP2/6PP/2R3K1 w - - 5 43,e6g4
2Q5/1Q6/8/5K2/8/8/k7/8 w - - 2 59,c8a8
8/7p/pp4p1/2pQ1p1k/3p3P/6Q1/P4PP1/6K1 w - - 0 40,g3g5
k5rr/P4p2/2N5/2QP4/2P5/7P/6PK/1q1q4 b - - 0 40,d1h1
2k5/5Q2/7R/6Q1/8/8/1P5P/5K2 w - - 7 62,h6h8 g5g8
4Q3/5ppp/8/p2p1Q2/3P2Pk/2P1P3/5P1P/1R4K1 w - - 3 33,f5h5
8/1p6/k7/2QQ4/p1K5/8/2n3PP/2B2B1R w - - 1 32,c5a5
QQ4Q1/3K4/5k2/7p/7P/8/8/8 w - - 2 57,b8f4 a8f3
5K2/3q3k/5b1p/1p3p2/5P2/3q2P1/8/8 b - - 6 54,d7e7 f6g7 d3d6 d3a3
3Q1Q2/8/8/8/8/4k3/6PP/6K1 w - - 1 49,f8f3
1K6/6q1/1p6/3qk3/8/2r5/8/2n5 b - - 3 69,g7c7 g7b7 d5g8 d5d8 d5b7
8/3Q4/4Q3/4P1pk/P6b/5p2/5P1P/6RK w - - 0 46,d7e8 d7h7 d7f7
7K/8/8/8/8/8/7k/n2qqqq1 b - - 11 65,f1h3 e1h4 d1h5
1b6/q7/2K5/8/1pk5/8/8/3q4 b - - 9 63,a7c7 a7a6 d1d7 d1d6 d1d5 d1a4 d1f3 d1h1
1k6/4Q2N/5Q2/8/7P/8/6PK/8 w - - 3 58,f6h8 f6f8
8/8/8/1P3P2/PK1Q4/1Q6/8/2k5 w - - 9 67,d4f4 d4e3 d4c3 d4b2 d4d1 b3b2 b3d1
8/p7/8/k5r1/8/1q6/q7/2K5 b - - 7 73,g5c5 g5g1 b3c2 b3b1 a2c2 a2b2
5k2/1p3pp1/7P/5P2/7P/1q6/q7/4K3 b - - 6 53,b3b1
8/1p3ppk/7p/2K5/P7/1q6/3q4/8 b - - 1 42,b3b4 d2d5 d2b4
8/1k6/8/1K2n3/8/q7/8/2q5 b - - 3 59,c1c6 c1c5 c1c4 c1b2 c1f1 c1b1
4k3/Q7/Q7/8/1P6/4K3/8/8 w - - 5 69,a6c8
7r/6Qp/4Q3/3pP2k/8/5N2/5n1P/2q1b1K1 w - - 0 31,g7f7 e6f7
8/3kbp2/2n1p1p1/4Pq2/2pP1P1P/2P2RKP/5B2/5q2 b - - 5 37,f5h3 f1h3
8/8/8/K5P1/8/7Q/Q6p/3k3N w - - 11 76,h3f1
8/8/8/5k2/4q3/8/3K4/6q1 b - - 7 57,g1e1
8/8/2B5/5Q2/4Q3/2P1P3/1P1P3k/1NB1K3 w - - 7 48,e4g2
2q5/1q4pp/7n/8/5p2/K7/8/3k4 b - - 1 54,c8a8
2R5/5K2/8/3Q4/8/6Q1/4k3/8 w - - 11 89,d5d3
6Q1/8/7k/4R3/8/6Qp/3K3P/8 w - - 4 57,g8h8 g8g7 g8g6 g3g7 g3g6 g3g5 g3h4 g3f4 g3h3 g3e3
4QQR1/8/p1P5/8/1PP4k/8/P4PP1/2K5 w - - 1 47,f8e7 f8h6 f8f6 f8f4
2Q5/8/8/3Q4/k7/8/1Q6/3K4 w - - 7 57,c8e8 c8a8 c8d7 c8c6 c8a6 c8g4 c8c4 c8c2 d5a8 d5b5 d5a2 b2b3
k7/8/8/8/8/2Q5/1Q3PK1/8 w - - 17 71,c3a5 c3a3
2Q5/1P2k3/Q7/P7/8/7P/5PP1/6K1 w - - 1 49,a6e6
4r3/2p3p1/5k2/2q2p1p/P2R3P/8/2q1b3/K7 b - - 3 40,c5d4 c5c3 c5a3
8/1K6/8/8/8/2Q5/1Q6/3k4 w - - 11 65,c3d2 c3c1 b2d2 b2c2
5K2/7q/1q3P2/8/8/8/1k6/8 b - - 6 75,b6d8 b6b8
8/8/8/7n/K2k3P/8/6r1/1qq5 b - - 1 46,g2a2
5Q2/6Q1/8/8/4B3/2R1B2k/8/7K w - - 9 63,f8h8 e3f2
6QQ/8/8/8/8/Q7/P1kN4/4K3 w - - 1 45,h8h7 h8c3 h8b2 g8c8 g8h7 g8g6 g8c4 g8b3 a3c3
7Q/4R3/4p2p/4p2k/4rp1b/8/6QP/6K1 w - - 0 42,h8e8
8/5p2/4pp1p/8/3KPPk1/2R5/1qq5/8 b - - 2 41,c2c3 b2c3
8/p6k/7p/3q4/8/P4q2/5P2/5K2 b - - 3 42,d5d1 f3d1
5b1r/Q4ppp/1p1k2q1/3B4/4P3/2Q2P1b/PPP2RPP/RN4K1 w - - 1 23,a7c7 c3c7
8/pkp5/1p1p4/q7/2P5/1K6/PP6/q7 b - - 3 36,a1d1
1QQ1QQ2/8/8/2K4P/1R6/8/8/k7 w - - 1 82,e8a4 c8a6 b8a8 b8a7 b4a4
4Q3/6Q1/8/2k5/5Q2/6K1/8/8 w - - 5 86,g7d4 f4d4
8/5B2/5Q1p/p1p3pQ/1p1p4/3P2k1/PPP5/6K1 w - - 2 37,f6d6 f6e5 f6f3 f6f2
8/5R2/8/6k1/4Q3/8/7Q/7K w - - 7 55,e4f5 e4g2 h2h4
5QQ1/3k4/2p5/2p5/2P5/PK6/1P5P/4B3 w - - 1 48,g8f7 f8d8
3Q4/5k2/8/8/1K4Q1/8/8/q5B1 w - - 2 77,g4g8
r1bqk2r/pppp2pp/2n2p1B/8/2B1P3/2b4N/P4PPP/q3QK1R b kq - 1 11,a1e1
2Q5/4Q3/5QK1/1k6/8/8/8/8 w - - 3 85,c8a6 f6a6
1QQ5/4k3/5p2/3ppP1p/6pP/6P1/5PK1/8 w - - 1 60,c8e8 c8c7 c8b7 c8e6 b8c7
1Q6/7Q/4k3/R7/7p/7P/P5K1/8 w - - 3 59,b8b6 b8e5
8/5p1k/5q2/6PP/7K/1q6/8/8 b - - 0 61,f6f4 f6d4
5k2/6pp/4P1P1/8/1K6/8/2q5/q7 b - - 0 47,a1a4
