FEN,Move,Win Probability,FEN ID
r4rk1/ppp2ppp/1n1pb3/4p1q1/2P1P1P1/2N4P/PPP1QP1N/1K1R3R w - - 4 16,"['b2b3', 'h2f3', 'h3h4', 'c3d5', 'h2f1', 'e2e1', 'h1g1', 'c4c5', 'f2f3', 'a2a4', 'a2a3', 'e2f3', 'e2d3', 'd1g1', 'h1e1', 'd1e1', 'b1a1', 'd1c1', 'd1d3', 'e2f1', 'f2f4', 'e2d2', 'd1d2', 'd1d5', 'e2e3', 'b2b4', 'h1f1', 'd1f1', 'd1d6', 'c3a4', 'c3b5', 'd1d4']","[0.5874611371519987, 0.5550076484124536, 0.5522778816577142, 0.545896437602999, 0.4468118376315084, 0.4223883025523238, 0.41879910735532644, 0.4179031343602754, 0.410755311431655, 0.4098644115408538, 0.4027589492090241, 0.39745633901469424, 0.39745633901469424, 0.39657487064657393, 0.39305576011188204, 0.3869241464463639, 0.3851787270047305, 0.3825661400242328, 0.36532817385496535, 0.3627707844161063, 0.36107015153620403, 0.3517797456776559, 0.3467586268993149, 0.3157793377114481, 0.30396910093037527, 0.2818611582905738, 0.2488744990616516, 0.24818682246504542, 0.16825814846895443, 0.12681590743681204, 0.11248087332490314, 0.10533642481155803]",3WHSL0
r2q1rk1/2pb2pp/p1n1p3/1p3n2/4p3/2P2N2/PPQBBPPP/2KR3R w - - 0 16,"['f3g5', 'c2e4', 'd2g5', 'f3e1', 'f3g1', 'f3d4', 'g2g4', 'd2f4', 'h1e1', 'h2h4', 'c2b3', 'f3e5', 'c1b1', 'g2g3', 'h2h3', 'h1g1', 'd2e3', 'd1e1', 'a2a4', 'b2b3', 'a2a3', 'h1f1', 'c2b1', 'd2e1', 'e2f1', 'd1f1', 'b2b4', 'e2b5', 'd1g1', 'e2c4', 'e2d3', 'f3h4', 'c3c4', 'd2h6', 'c2d3', 'c2a4']","[0.5829922971166973, 0.5686035652810878, 0.48711557303526726, 0.4143247132264411, 0.3825661400242328, 0.37476952142308345, 0.2509451617398634, 0.2275054850760267, 0.21234958051732766, 0.2062562611938536, 0.19852984077617208, 0.19503797801426692, 0.1938844142805335, 0.19330957860820386, 0.19216379718622123, 0.1915928504041009, 0.1915928504041009, 0.19045484200262652, 0.1893220100493414, 0.1876324575456314, 0.18651254549806995, 0.17881728296347305, 0.17827723949223973, 0.17506378427288877, 0.17189613488694255, 0.1708503939715894, 0.1692912623296785, 0.16671791636261035, 0.1621648870000681, 0.15383900101915987, 0.15193153729600622, 0.14540801215840354, 0.1422343301868677, 0.1284558117032647, 0.06260093933963423, 0.045590299111984645]",LL5JET
1b2nrk1/pp4pp/1qp1Q3/3p2N1/5p2/1P2P2P/PB4P1/4RRK1 b - - 5 23,"['g8h8', 'f8f7']","[0.027736185643187417, 0.0]",EPJIJD
1R6/5pkp/1prp2p1/1N6/3P1b2/1KP5/P4PPP/8 b - - 6 32,"['d6d5', 'f4h2', 'h7h5', 'g6g5', 'h7h6', 'g7f6', 'g7h6', 'f4d2', 'f4g5', 'f4c1', 'f7f5', 'f4h6', 'c6c4', 'f4e3', 'f4e5', 'f7f6', 'f4g3', 'c6c3', 'c6c5', 'c6c7', 'c6c8']","[0.36532817385496535, 0.23141152218477828, 0.1672300700782952, 0.16066965780092213, 0.15673687957968802, 0.1548000581683256, 0.14540801215840354, 0.14495105737956576, 0.14133824015919433, 0.14044687122292038, 0.12928252385851996, 0.1284558117032647, 0.12519393136296175, 0.11470529526403384, 0.10603244788021299, 0.10259250923752877, 0.10191649247758733, 0.09991208792971568, 0.09892308421915808, 0.09729410510118269, 0.09537095564452558]",IHDHRY
rnb1k2r/pppp1pb1/4p1p1/4Pn2/2BP4/8/PPPNQPqP/2KR3R b kq - 1 10,"['f5d4', 'b8c6', 'h8h4', 'h8h5', 'b7b5', 'g2c6', 'h8h3', 'b8a6', 'g2h3', 'g2g5', 'a7a6', 'd7d5', 'h8h2', 'g7h6', 'a7a5', 'h8h6', 'f5h4', 'd7d6', 'b7b6', 'c7c5', 'e8d8', 'e8f8', 'h8h7', 'h8f8', 'f5h6', 'g7f8', 'c7c6', 'e8e7', 'g6g5', 'f5e7', 'e8g8', 'h8g8', 'f5g3', 'f7f6', 'g2h1', 'g7f6', 'f5d6', 'g7e5', 'f5e3', 'g2h2', 'g2d5', 'g2g4', 'g2g1', 'g2f2', 'g2f1', 'g2e4', 'g2f3', 'g2g3']","[0.9439672620847577, 0.9286682314002843, 0.9146092793830201, 0.9143212727289114, 0.9092888130340637, 0.907450014345987, 0.9071403124659402, 0.906829680630278, 0.9046290443554744, 0.903671757298256, 0.903350758748544, 0.9004185528235357, 0.8987555723308257, 0.8960435355372941, 0.8929159179319219, 0.8914994675781045, 0.8911427929743677, 0.88970578574512, 0.8889810685801525, 0.8860404011975771, 0.8841681982392355, 0.8834118629871756, 0.8764102358709694, 0.8739973141938563, 0.8690504586154243, 0.8673652202544965, 0.8669410501979907, 0.8608813591131842, 0.8586617598408057, 0.8522892607055503, 0.8451999418316745, 0.8427758429925688, 0.8206413947214363, 0.8200987926971613, 0.7807971109470668, 0.7801662604387296, 0.765297821079766, 0.7455783621617914, 0.7356767892949336, 0.6431661450174323, 0.5776116974476763, 0.27446827486685393, 0.27446827486685393, 0.27373565145955325, 0.22880230865038653, 0.21234958051732766, 0.18263344241323198, 0.1708503939715894]",SV527K
5k2/p4p1p/1pp2p2/3b4/3P4/1PKR1P2/6PP/4r3 w - - 3 28,"['b3b4', 'g2g4', 'c3d2', 'f3f4', 'h2h4', 'h2h3', 'd3d2', 'g2g3', 'c3c2', 'c3b2', 'c3b4', 'd3d1', 'd3e3']","[0.09729410510118269, 0.09568910197471286, 0.09348188324070156, 0.09348188324070156, 0.09317031936972209, 0.09224121164974286, 0.09101535279101453, 0.09010559942406182, 0.08683957548832155, 0.08596761401203978, 0.08453196045763806, 0.05208049726347597, 0.049941843576952194]",RQ5VKJ
3q1rk1/ppr1bppp/2n5/2p5/2Pp1P2/1P1QnNPB/PBP4P/2K1R2R b - - 2 17,"['c6b4', 'f8e8', 'h7h6', 'e7f6', 'b7b5', 'g7g6', 'b7b6', 'a7a6', 'a7a5', 'h7h5', 'f7f5', 'd8d6', 'e7d6', 'g8h8', 'd8a8', 'd8b8', 'd8e8', 'c6b8', 'g7g5', 'c6a5', 'c7c8', 'f7f6', 'e3c2', 'e7h4', 'e3d5', 'e3c4', 'c7d7', 'e3g4', 'e3g2', 'e7g5', 'e3f5', 'c6e5', 'e3f1', 'e3d1', 'd8c8', 'd8d7', 'd8d5']","[0.7284548928928163, 0.6448544575649283, 0.6303926375862742, 0.6278152022123592, 0.6191718321143753, 0.6165637432224795, 0.5928047194327711, 0.5838871815019091, 0.5794073444653803, 0.5540980866051488, 0.5495449603745888, 0.5404145195219514, 0.5404145195219514, 0.5330902822991305, 0.5156437324214209, 0.5156437324214209, 0.47516641034760715, 0.42508560971233006, 0.4071952805672289, 0.37476952142308345, 0.3678931833857318, 0.3636223933562701, 0.3181708609785677, 0.3047486873684638, 0.28335416965958693, 0.27446827486685393, 0.26360782809954386, 0.22173410747470712, 0.21234958051732766, 0.2032585059804044, 0.1777384739863237, 0.1772009855540524, 0.1698097103394629, 0.16166523433017105, 0.1280441483889645, 0.11433191756669464, 0.08481733928130131]",I2CZ0H
r1bqkb1r/ppp2ppp/2n1pn2/8/3PP3/5N2/PP2BPPP/RNBQ1RK1 b kq - 3 7,"['f6e4', 'f8e7', 'f8b4', 'h7h6', 'a7a6', 'c6e7', 'a8b8', 'f6d7', 'c8d7', 'c6b8', 'a7a5', 'g7g6', 'd8d7', 'c6a5', 'd8e7', 'f6g4', 'b7b6', 'c6b4', 'h8g8', 'h7h5', 'f6g8', 'f6h5', 'e8e7', 'e6e5', 'b7b5', 'g7g5', 'c6d4', 'f8d6', 'f8c5', 'e8d7', 'f6d5', 'c6e5', 'd8d6', 'f8a3', 'd8d4', 'd8d5']","[0.5394998785122574, 0.4089741028083871, 0.3704656899332343, 0.36447485800156987, 0.3576793498105364, 0.354302733312082, 0.3484286119517737, 0.3442607185634, 0.34094353873508304, 0.3359969188321382, 0.3335369512006218, 0.33271896373429855, 0.33271896373429855, 0.32702145260719145, 0.32137451728153066, 0.3126057645251697, 0.30396910093037527, 0.30086202940252793, 0.30008809407041565, 0.2931742312343752, 0.2916505347851929, 0.2901315068241716, 0.2730042477661579, 0.27154510710718377, 0.2262138557091269, 0.21857334169044645, 0.17666477329070246, 0.14313515442187086, 0.1364937770513217, 0.1317898757643592, 0.12043437276310126, 0.12004487506796785, 0.11926914267573452, 0.1056839310673574, 0.06845966694569416, 0.04116311434515019]",CN2GIE
5rk1/4Qp1p/p5pP/8/8/1p6/q4PP1/4R1K1 b - - 0 31,"['a2d2', 'a2b2', 'a2a5', 'f8d8', 'f8e8', 'a2a3', 'a2c2', 'g6g5', 'a6a5', 'g8h8', 'a2f2', 'f7f5', 'b3b2', 'f8b8', 'a2a1', 'a2a4', 'f8c8', 'f8a8', 'a2b1', 'a2e2', 'f7f6']","[0.7203693739005184, 0.5202403732122675, 0.11849774804133456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8IMJ8D
r2qkbnr/p3pppp/b1pp4/8/4P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 8,"['e4e5', 'd1d4', 'd1d2', 'a2a4', 'b2b3', 'c3e2', 'f3d4', 'c1g5', 'c1e3', 'b2b4', 'f3d2', 'f3g1', 'h2h4', 'a2a3', 'h1g1', 'h2h3', 'f3g5', 'a1b1', 'g2g4', 'f3h4', 'g2g3', 'c3b1', 'c3a4', 'c1f4', 'c1d2', 'e1d2', 'h1f1', 'c3d5', 'f3e5', 'c3b5', 'c1h6', 'd1d3', 'd1d6', 'd1e2', 'd1d5']","[0.5321736834106171, 0.5239152574834706, 0.519321294202434, 0.5064432832995209, 0.4926363724400336, 0.48067870579756605, 0.48067870579756605, 0.47700323643230064, 0.46141502858974687, 0.4586711116420767, 0.4586711116420767, 0.4477221183422858, 0.4477221183422858, 0.44499235158754635, 0.4322998523826144, 0.43139643471891215, 0.42508560971233006, 0.4232868990440539, 0.4232868990440539, 0.4223883025523238, 0.4179031343602754, 0.41611281849809095, 0.4089741028083871, 0.40808439067529095, 0.4045316164166957, 0.37390714490240246, 0.3126057645251697, 0.1991163680760002, 0.18595452438873583, 0.17506378427288877, 0.16066965780092213, 0.0851035919775297, 0.08453196045763806, 0.08311810201340841, 0.05046857503414015]",6EGI46
4r1k1/4P1pp/pB6/3pq3/4n2Q/8/PP4PP/R5K1 b - - 0 26,"['e5b2', 'e8e7', 'h7h6', 'e5e7', 'h7h5', 'e5d6', 'a6a5', 'e5b8', 'g7g5', 'g7g6', 'e4f6', 'e4g5', 'd5d4', 'e4d6', 'e5e6', 'e8b8', 'e4d2', 'e8c8', 'g8h8', 'e5f6', 'g8f7', 'e5f5', 'e8a8', 'e5g5', 'e4g3', 'e4c3', 'e4f2', 'e4c5', 'e8f8', 'e5d4', 'e5h2', 'e5f4', 'e5c3', 'e5c7', 'e5h5', 'e5g3', 'e8d8']","[0.8513597626267853, 0.5248335896523929, 0.5064432832995209, 0.48803552438333736, 0.48711557303526726, 0.4852759384118717, 0.4843562675785791, 0.48067870579756605, 0.45227865991833244, 0.4477221183422858, 0.4196956162806843, 0.39922126818820586, 0.3983384732724953, 0.39657487064657393, 0.3939345129435846, 0.39130033495471916, 0.36874985869153015, 0.36532817385496535, 0.3534608279851336, 0.3442607185634, 0.3294571208942188, 0.32864420511660863, 0.3237883625149461, 0.31181509311084854, 0.14678605153511798, 0.13348426760561977, 0.1085005324218955, 0.09132043609196017, 0.07431475154930411, 0.06089447299741191, 0.06005764149544496, 0.0572128034960373, 0.05642352684427998, 0.05506687719009473, 0.05046857503414015, 0.04873299080067217, 0.0026956396403640115]",NJY58J
rnbqkbnr/ppp2ppp/8/3p4/2P5/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,"['d5d4', 'g8f6', 'c8e6', 'f8e7', 'b8d7', 'c7c6', 'c8g4', 'f8d6', 'c8f5', 'b8c6', 'h7h6', 'a7a5', 'g8e7', 'f8c5', 'a7a6', 'd5c4', 'f8b4', 'g7g6', 'd8d7', 'b8a6', 'c7c5', 'c8d7', 'd8d6', 'h7h5', 'g8h6', 'b7b6', 'd8e7', 'f7f6', 'b7b5', 'g7g5', 'd8f6', 'f7f5', 'e8d7', 'e8e7', 'c8h3', 'f8a3', 'd8h4', 'd8g5']","[0.5358387144707508, 0.5184020844121936, 0.48987566402915633, 0.4852759384118717, 0.48343670268785593, 0.4825172499538834, 0.48067870579756605, 0.4742482461063748, 0.4659933421436654, 0.4650771960458313, 0.46141502858974687, 0.4559296988800415, 0.4559296988800415, 0.454103562397001, 0.4504550396254112, 0.4486327495624493, 0.4431743390334964, 0.44226590014833245, 0.4304934733529298, 0.4241860033205554, 0.4223883025523238, 0.4196956162806843, 0.4143247132264411, 0.41164679702450635, 0.4027589492090241, 0.4018735643137257, 0.4018735643137257, 0.39657487064657393, 0.38430712075371815, 0.3825661400242328, 0.3730455687844096, 0.3602211364871788, 0.32217808052909447, 0.3070941655927887, 0.17347424696948943, 0.11545523538360414, 0.04976742674428336, 0.04029993760307693]",YEVBNZ
8/5R1p/8/1p6/1P6/1K4B1/4kP1P/2r5 b - - 0 42,"['h7h5', 'c1b1', 'e2d3', 'c1d1', 'c1a1', 'e2f1', 'c1c6', 'c1e1', 'c1h1', 'c1g1', 'h7h6', 'c1f1', 'c1c8', 'e2d1', 'e2e1', 'c1c4', 'e2d2', 'c1c7', 'c1c3', 'c1c2', 'c1c5']","[0.14495105737956576, 0.13391073492623923, 0.13348426760561977, 0.12200328516817582, 0.11734875537361839, 0.10533642481155803, 0.09991208792971568, 0.09794280511446124, 0.09132043609196017, 0.09132043609196017, 0.09101535279101453, 0.09010559942406182, 0.08742532159410737, 0.08625738291273272, 0.08596761401203978, 0.08453196045763806, 0.06660484252279597, 0.05506687719009473, 0.05046857503414015, 0.04976742674428336, 0.028439770721348623]",YD7NN7
3k4/1BP5/p6p/P6n/8/8/4K3/8 b - - 0 43,"['d8c7', 'd8e7', 'd8e8', 'd8d7']","[0.5046024700028845, 0.06413060406412313, 0.061316966610996726, 0.03268798269470369]",O22MTW
r2q1rk1/ppb2pp1/1np1pn1p/5b2/1P1Pp3/P1N3PP/1BP1NPB1/R2QR1K1 w - - 2 14,"['b2c1', 'a1b1', 'd1b1', 'a3a4', 'g3g4', 'g1h2', 'd1c1', 'c3b1', 'a1a2', 'g1h1', 'e1f1', 'g2f1', 'g1f1', 'h3h4', 'd1d2', 'g2h1', 'b4b5', 'c3a2', 'e2f4', 'e2c1', 'a1c1', 'f2f3', 'f2f4', 'd4d5', 'g2e4', 'c3e4', 'c3b5', 'c3a4', 'c3d5', 'g2f3', 'd1d3']","[0.30008809407041565, 0.2848519525637597, 0.2818611582905738, 0.2796306260994816, 0.27227406568891394, 0.27009086783348246, 0.26647680798493956, 0.26360782809954386, 0.2621807972981455, 0.2558210792216864, 0.24613144130277942, 0.2373579657373579, 0.2366920834084017, 0.23470217892023404, 0.23470217892023404, 0.23206706534704952, 0.23075727435752347, 0.22492742421785805, 0.22109934903954387, 0.21857334169044645, 0.2074644899708633, 0.15918559583798003, 0.15528242303659195, 0.15383900101915987, 0.1369283400318172, 0.10814488465274963, 0.08424745343669515, 0.07133176859971574, 0.05801244208956258, 0.05642352684427998, 0.035474376208262826]",2Y1BBU
2kr2nr/pp2ppbp/2p3p1/4n3/5B2/8/PPP1BPPP/R2NK2R w KQ - 2 12,"['a2a4', 'e1g1', 'd1e3', 'f4e3', 'a1b1', 'g2g4', 'g2g3', 'h2h4', 'h2h3', 'f4d2', 'f4c1', 'f2f3', 'a2a3', 'f4g5', 'd1c3', 'h1g1', 'h1f1', 'a1c1', 'e1f1', 'f4g3', 'c2c3', 'e2f1', 'f4e5', 'c2c4', 'b2b3', 'e2f3', 'b2b4', 'e2d3', 'e2a6', 'e2h5', 'e2b5', 'e2g4', 'e2c4', 'f4h6']","[0.3939345129435846, 0.38867247514924735, 0.38779794964864106, 0.38430712075371815, 0.3825661400242328, 0.3808281678856246, 0.37822693647667593, 0.37822693647667593, 0.3764966567002889, 0.37390714490240246, 0.3678931833857318, 0.3661823363988792, 0.36532817385496535, 0.36447485800156987, 0.3627707844161063, 0.3576793498105364, 0.35683385498256776, 0.354302733312082, 0.35010232921435797, 0.3459250441719453, 0.34177138985111283, 0.3376418641828339, 0.31339752781910246, 0.29854364172866005, 0.2593417169297452, 0.2373579657373579, 0.2074644899708633, 0.2032585059804044, 0.1280441483889645, 0.110656053362296, 0.10361398030487234, 0.10057629832289083, 0.09071118696593633, 0.08683957548832155]",DX2479
8/1Q1b1pk1/p4np1/8/2P2P2/1P5P/r5P1/2R1R1K1 w - - 0 28,"['b7f3', 'c1a1', 'g2g4', 'c4c5', 'b7c7', 'g1h1', 'c1d1', 'e1e7', 'g1f1', 'e1f1', 'e1e3', 'b7a8', 'e1e5', 'c1c3', 'b3b4', 'c1b1', 'h3h4', 'f4f5', 'b7b6', 'e1d1', 'g1h2', 'e1e4', 'b7b4', 'g2g3', 'c1c2', 'b7a7', 'b7b8', 'b7d7', 'e1e8', 'e1e6', 'e1e2', 'b7d5', 'b7e4', 'b7a6', 'b7c8', 'b7b5', 'b7c6']","[0.9367477040415197, 0.9308325149435775, 0.9298782182687167, 0.929154522170876, 0.926441578038, 0.9254315531912127, 0.9254315531912127, 0.9246656829750429, 0.9241510955819465, 0.9231122304548612, 0.9225879202258773, 0.922060336512417, 0.9204577812176484, 0.9204577812176484, 0.9185501223458379, 0.9185501223458379, 0.9166008574954206, 0.916036183850529, 0.9151826607186987, 0.9098944005759381, 0.9055778121403019, 0.8997562957102946, 0.8925633384935145, 0.8918551153472504, 0.8826512446263817, 0.8826512446263817, 0.8752087753348773, 0.8739973141938563, 0.8686308617297157, 0.8621990419356735, 0.8494862867151542, 0.8417975920880569, 0.7901034009176923, 0.5998952814867482, 0.49079583987119135, 0.4568432147802496, 0.30396910093037527]",VUIFGZ
r2q1rk1/ppp1ppb1/7p/8/3P1P2/3B3P/PP4nK/RN3R2 w - - 0 19,"['b1c3', 'h2g2', 'b1d2', 'b1a3', 'h2h1', 'a2a4', 'd4d5', 'h3h4', 'f1f2', 'd3e2', 'f4f5', 'b2b3', 'd3e4', 'd3f5', 'd3c4', 'f1f3', 'a2a3', 'h2g1', 'd3c2', 'd3a6', 'd3b5', 'f1g1', 'b2b4', 'd3g6', 'f1c1', 'h2g3', 'f1d1', 'd3h7', 'f1h1', 'f1e1']","[0.06195584660125636, 0.060474702951805626, 0.059026740057327, 0.05801244208956258, 0.057014517452192714, 0.05622781310464969, 0.05487559552749721, 0.054305499345811914, 0.05153785558639973, 0.0506453181708183, 0.049941843576952194, 0.049941843576952194, 0.04959358724764201, 0.04873299080067217, 0.04771897627338734, 0.0468893050040472, 0.04656129154388233, 0.045430352894413106, 0.04463860778885237, 0.04448184481402617, 0.04219252013317121, 0.04189591869906967, 0.03987487761127173, 0.03754625096413866, 0.03636691402549663, 0.035727211667910985, 0.03387248485945282, 0.03387248485945282, 0.02676032285058416, 0.02619091801539908]",XC74H9
8/6P1/p1kp4/b7/8/4p2P/5R2/7K w - - 0 40,"['f2c2', 'f2e2', 'f2a2', 'f2h2', 'f2g2', 'f2f1', 'g7g8q', 'f2f4', 'f2f3', 'f2f7', 'f2f8', 'f2b2', 'f2f6', 'h3h4', 'h1g2', 'h1g1', 'h1h2', 'f2f5', 'g7g8r', 'g7g8b', 'g7g8n', 'f2d2']","[0.9531106949959528, 0.9358693959358768, 0.9336237024046679, 0.933395157477204, 0.9303568787858939, 0.903671757298256, 0.903350758748544, 0.903350758748544, 0.8963860196951275, 0.8957000510572336, 0.889343946637704, 0.8826512446263817, 0.8752087753348773, 0.8719558516110355, 0.8613217564210567, 0.8555047041895522, 0.8471171687859335, 0.6440107489122191, 0.6043059266170111, 0.316575437139995, 0.16017373139259594, 0.15098510766141626]",LZKESX
r2qk2r/1pp3pp/p1nppn2/2b1p3/P3P3/2PP1N1P/1P3PP1/RNBQ1RK1 b kq - 1 9,"['d8d7', 'e8g8', 'a6a5', 'c5b6', 'h7h6', 'c5a7', 'd8c8', 'd8e7', 'd6d5', 'd8b8', 'a8b8', 'h8f8', 'c6e7', 'a8c8', 'h8g8', 'e8f7', 'f6g8', 'b7b5', 'e8f8', 'e8d7', 'h7h5', 'e8e7', 'f6d7', 'g7g6', 'c6b8', 'f6h5', 'g7g5', 'b7b6', 'f6e4', 'f6d5', 'f6g4', 'c5d4', 'c5f2', 'a8a7', 'c6a5', 'c6a7', 'c6d4', 'c6b4', 'c5b4', 'c5a3', 'c5e3']","[0.48619570897068454, 0.47516641034760715, 0.47516641034760715, 0.4733302559691369, 0.4714948226881868, 0.4696601598181785, 0.4650771960458313, 0.4586711116420767, 0.45319095389262815, 0.44135784741538037, 0.4295909740554304, 0.41253886284800134, 0.4089741028083871, 0.4071952805672289, 0.4018735643137257, 0.39305576011188204, 0.39130033495471916, 0.38954771790854137, 0.3851787270047305, 0.38343625677752047, 0.3825661400242328, 0.3825661400242328, 0.3704656899332343, 0.35598925108778084, 0.34926500611173045, 0.34094353873508304, 0.3189701789020309, 0.16671791636261035, 0.16671791636261035, 0.16417595629270143, 0.1577126660012219, 0.15240657549097442, 0.15145771517415685, 0.13867824357894337, 0.1322117556602187, 0.1301137622360911, 0.12969757635818585, 0.12358976412903044, 0.11734875537361839, 0.10464443579540594, 0.09379438122652484]",5SKKLY
r2qkb1r/1b1npp1p/p5p1/1p6/3Pn3/3B1N2/PP3PPP/R1BQR1K1 w kq - 0 12,"['d3e4', 'e1e4', 'a2a4', 'h2h4', 'd1e2', 'f3g5', 'f3e5', 'c1f4', 'd4d5', 'h2h3', 'b2b4', 'd1b3', 'd1c2', 'a2a3', 'c1e3', 'c1g5', 'g1f1', 'c1d2', 'g2g3', 'd3b1', 'd3c2', 'g2g4', 'e1e2', 'f3h4', 'a1b1', 'e1e3', 'f3d2', 'e1f1', 'd3e2', 'c1h6', 'd3f1', 'b2b3', 'd3b5', 'd3c4', 'd1a4', 'd1d2', 'g1h1']","[0.5147240615881282, 0.4659933421436654, 0.2970037651435491, 0.22685902088008758, 0.22109934903954387, 0.21420301444757306, 0.2111204806304472, 0.20989659908230773, 0.18539779231227405, 0.18484234856825787, 0.1837353232049962, 0.1837353232049962, 0.1837353232049962, 0.1809902538736936, 0.1777384739863237, 0.17559617358710589, 0.17347424696948943, 0.16825814846895443, 0.16671791636261035, 0.1621648870000681, 0.16116682502020485, 0.1572241570074313, 0.1548000581683256, 0.15431891796545932, 0.15383900101915987, 0.15098510766141626, 0.14044687122292038, 0.13956021014527653, 0.13911864088681591, 0.13911864088681591, 0.13867824357894337, 0.1360603758040403, 0.10921491048911158, 0.09729410510118269, 0.057411737157371245, 0.0506453181708183, 0.03675601122110872]",VPE9OA
8/2p3pp/2kp2r1/P3p3/4Pp2/3P4/3K1RrP/1R6 w - - 1 34,"['b1c1', 'd2e2', 'f2e2', 'f2g2', 'b1f1', 'd2e1', 'd2c2', 'd2c3', 'b1e1', 'b1b8', 'd3d4', 'b1a1', 'h2h3', 'b1b3', 'b1b4', 'b1d1', 'h2h4', 'b1h1', 'a5a6', 'd2d1', 'b1b6', 'b1b2', 'b1g1', 'b1b5', 'b1b7', 'd2c1']","[0.20266286491422758, 0.19102319886093233, 0.17294694147710776, 0.16877407540701395, 0.16417595629270143, 0.1500435305626528, 0.1085005324218955, 0.1049899270693318, 0.08453196045763806, 0.08396381614947102, 0.08035473751517275, 0.07741207977412268, 0.07688776954513865, 0.07688776954513865, 0.07507822752621851, 0.07456844680878733, 0.07431475154930411, 0.07431475154930411, 0.07060348244255998, 0.0701217817312833, 0.06706412608595291, 0.06524446379186621, 0.05882255957786381, 0.05208049726347597, 0.03728104017137718, 0.0]",LCICZU
3r2k1/1bqr1ppp/pp1ppbn1/8/2PNP3/BP2QP1P/P2RN1P1/3R1K2 b - - 4 24,"['b6b5', 'h7h6', 'd6d5', 'b7a8', 'd8c8', 'd8e8', 'c7c8', 'd8a8', 'g6h4', 'g8h8', 'c7b8', 'f6e7', 'g6e7', 'f6h4', 'g6f8', 'b7c8', 'd8b8', 'b7c6', 'd7e7', 'h7h5', 'd8f8', 'g6h8', 'f6e5', 'g6e5', 'f6d4', 'g8f8', 'e6e5', 'a6a5', 'g6f4', 'b7e4', 'f6g5', 'c7c5', 'b7d5', 'c7c6', 'c7c4']","[0.5713110574149894, 0.5649872147270768, 0.5495449603745888, 0.5257517538936253, 0.511044443209752, 0.5092041601288086, 0.5064432832995209, 0.5064432832995209, 0.5055228953683342, 0.5036820134406647, 0.5027615319200139, 0.5027615319200139, 0.49907948104001076, 0.49539752999711567, 0.49539752999711567, 0.48711557303526726, 0.48619570897068454, 0.4825172499538834, 0.4705773918729125, 0.467826316589383, 0.4605001214877426, 0.4568432147802496, 0.4559296988800415, 0.454103562397001, 0.4341080334601539, 0.41700770288330274, 0.35937299492456853, 0.29854364172866005, 0.23075727435752347, 0.22300753025901537, 0.15240657549097442, 0.11734875537361839, 0.10464443579540594, 0.06799152265130198, 0.06457400649394152]",81YKND
r3kb2/ppp1qp2/2n1p3/3p3Q/3P1P2/2P1P1B1/PP4P1/RN2K1N1 b Qq - 0 14,"['e7f6', 'e7d8', 'c6a5', 'e8c8', 'e7d6', 'f8g7', 'a7a5', 'a7a6', 'e8d7', 'c6b8', 'b7b5', 'b7b6', 'c6d8', 'e7d7', 'c6b4', 'e6e5', 'a8b8', 'a8c8', 'e8d8', 'a8d8', 'f8h6', 'c6d4', 'c6e5', 'e7b4', 'e7c5', 'e7a3', 'e7h4', 'e7g5']","[0.14404072586099298, 0.13348426760561977, 0.13305894980200939, 0.1301137622360911, 0.1276336111356119, 0.1260026858061437, 0.12438962914872875, 0.12082496069766191, 0.11965646568318677, 0.11545523538360414, 0.11507973387664883, 0.11211381938667214, 0.11174781242532256, 0.11101893141984764, 0.10921491048911158, 0.10885720702563229, 0.10638197729176951, 0.10191649247758733, 0.10057629832289083, 0.09697119469294446, 0.09473750066487285, 0.09285968753405982, 0.07820468799769881, 0.05943709526487312, 0.04401469946699421, 0.04401469946699421, 0.038352804077394276, 0.03387248485945282]",7M8U7U
