FEN,Move,Win Probability
8/p1pn1pk1/1p4pp/8/3Q4/8/PP4P1/6K1 b - - 1 29,"['d7f6', 'g7f8', 'g7h7', 'g7g8', 'd7e5', 'f7f6']","[0.11211381938667214, 0.08742532159410737, 0.08396381614947102, 0.08172578028842459, 0.07533431702495696, 0.06435194965051655]"
rnbqk2r/pp1nbppp/2p1p3/7P/2pP4/2NBPN2/PP3PP1/R2QK2R w KQkq - 0 10,"['d3c4', 'h5h6', 'd3e2', 'd3b1', 'd3f1', 'd3c2', 'd3e4', 'f3e5', 'd3h7', 'h1h3', 'd4d5', 'a1c1', 'e3e4', 'g2g4', 'd1b1', 'd1c2', 'e1g1', 'a2a3', 'd1c1', 'd1d2', 'h1h4', 'b2b4', 'e1f1', 'd1e2', 'c3e2', 'f3g5', 'c3e4', 'a2a4', 'd3g6', 'h1g1', 'f3h2', 'a1b1', 'b2b3', 'g2g3', 'f3h4', 'd1a4', 'h1f1', 'e1e2', 'd3f5', 'c3b1', 'c3a4', 'f3g1', 'f3d2', 'e1d2', 'h1h2', 'c3b5', 'c3d5', 'd1b3']","[0.18595452438873583, 0.15869338408054756, 0.14495105737956576, 0.1400029530333191, 0.1347671251678204, 0.13433835352772516, 0.12969757635818585, 0.11174781242532256, 0.11029421425487995, 0.10057629832289083, 0.09317031936972209, 0.09317031936972209, 0.09101535279101453, 0.09101535279101453, 0.09010559942406182, 0.09010559942406182, 0.08950365682918204, 0.0889053425473339, 0.08831063994889787, 0.08713200331229709, 0.08453196045763806, 0.08396381614947102, 0.08172578028842459, 0.08144987765416223, 0.08117482411679905, 0.08090061761863632, 0.08008305980061614, 0.07981222090680473, 0.07900471664273123, 0.0776754614263434, 0.07688776954513865, 0.07533431702495696, 0.07482293812793234, 0.07456844680878733, 0.07330789078382272, 0.0723136059066038, 0.0723136059066038, 0.07133176859971574, 0.07108823921840635, 0.06940492607857218, 0.06845966694569416, 0.06845966694569416, 0.06845966694569416, 0.06729486861836093, 0.06614848131031625, 0.05841618363161599, 0.04639810436439451, 0.03351285051151409]"
rnbqkbnr/ppp2ppp/8/3pp3/6P1/2N5/PPPPPPBP/R1BQK1NR b KQkq - 1 3,"['d5d4', 'c7c6', 'g8e7', 'c8e6', 'f8c5', 'c8g4', 'h7h5', 'b8c6', 'e5e4', 'g8h6', 'a7a5', 'c7c5', 'g8f6', 'f8d6', 'a7a6', 'd8d6', 'f7f5', 'c8d7', 'b8a6', 'h7h6', 'g7g6', 'b8d7', 'f8e7', 'f7f6', 'd8d7', 'f8b4', 'g7g5', 'd8e7', 'd8h4', 'd8f6', 'e8e7', 'e8d7', 'b7b5', 'd8g5', 'b7b6', 'f8a3', 'c8f5']","[0.6312501413084699, 0.6303926375862742, 0.591915609324709, 0.5776116974476763, 0.5695065266470701, 0.5677001476173855, 0.5613639348680176, 0.5550076484124536, 0.5358387144707508, 0.5285051773118131, 0.522078114090291, 0.5138042910293155, 0.5018410316799476, 0.5018410316799476, 0.49079583987119135, 0.48619570897068454, 0.4843562675785791, 0.4815979155878063, 0.477921885909709, 0.47516641034760715, 0.4724124461074959, 0.4714948226881868, 0.4650771960458313, 0.4504550396254112, 0.44954372531791664, 0.43139643471891215, 0.41343150341573687, 0.41253886284800134, 0.4054188880512549, 0.4054188880512549, 0.4027589492090241, 0.39745633901469424, 0.3948139524217644, 0.3816967754233412, 0.3799603223030577, 0.2204658929761425, 0.13956021014527653]"
b1rq1rk1/5pbp/2p1pnp1/pp6/3P1N2/BP2P3/P1Q1BPPP/1R3RK1 b - - 1 20,"['b5b4', 'c6c5', 'f8e8', 'f6d5', 'c8c7', 'd8e8', 'd8c7', 'g6g5', 'g7h6', 'h7h5', 'd8d7', 'a8b7', 'd8b6', 'h7h6', 'f6d7', 'f6e8', 'a5a4', 'g8h8', 'c8b8', 'g7h8', 'e6e5', 'f6h5', 'f6e4', 'f6g4', 'd8d5', 'd8d4', 'd8e7', 'd8d6']","[0.5847815132358991, 0.5658919665398462, 0.4268863060981179, 0.29623554941924907, 0.29546848557860633, 0.29089043601136866, 0.29089043601136866, 0.2901315068241716, 0.28710753429786423, 0.28410246577959375, 0.28410246577959375, 0.2818611582905738, 0.27814961942773136, 0.2774109267875924, 0.27154510710718377, 0.2708173738774771, 0.2607587561640227, 0.2516379230381391, 0.2502536698554691, 0.22237016798603204, 0.20989659908230773, 0.19794461416535591, 0.17242090445576874, 0.15383900101915987, 0.07431475154930411, 0.07133176859971574, 0.06068424846587306, 0.05449490838555032]"
6k1/8/1p4K1/p7/8/2r5/8/8 b - - 0 44,"['c3h3', 'c3c1', 'c3d3', 'c3e3', 'c3c5', 'c3g3', 'c3a3', 'c3f3', 'c3c2', 'c3b3', 'a5a4', 'c3c4', 'c3c6', 'b6b5', 'c3c7', 'g8f8', 'c3c8', 'g8h8']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9788149172155528, 0.9764837160701867, 0.9739028296067007, 0.968680640485461, 0.9685687388744709, 0.9637619020655448]"
r1b1kbnr/pppp1ppp/2n2q2/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,"['c6b8', 'c6d4', 'c6e7', 'c6d8', 'c6a5', 'c6b4', 'f6g6', 'f8b4', 'f8c5', 'f8d6', 'h7h6', 'd7d6', 'g8e7', 'a7a6', 'a7a5', 'f8e7', 'a8b8', 'h7h5', 'f6e7', 'f6d6', 'g7g6', 'g8h6', 'b7b6', 'g7g5', 'b7b5', 'f6d8', 'f8a3', 'e8e7', 'e8d8', 'f6f3', 'f6f4', 'f6h6', 'f6f5', 'f6h4', 'f6e6', 'f6g5']","[0.3799603223030577, 0.37563269360828333, 0.35261983069916264, 0.35261983069916264, 0.33190198331248677, 0.3157793377114481, 0.2154451591425247, 0.2074644899708633, 0.20088375754720622, 0.18707185632643297, 0.1831837401142804, 0.18263344241323198, 0.1761298362785808, 0.17294694147710776, 0.17189613488694255, 0.1698097103394629, 0.16774348040130993, 0.16774348040130993, 0.1646818444286432, 0.1626657842885849, 0.15869338408054756, 0.15869338408054756, 0.15193153729600622, 0.14540801215840354, 0.13867824357894337, 0.1313691382702844, 0.07482293812793234, 0.06660484252279597, 0.06026583458431928, 0.06005764149544496, 0.05355405200760416, 0.0506453181708183, 0.03610972102784693, 0.029369874567662713, 0.029056608017509422, 0.0191494986253245]"
r4rk1/1p1qbppp/p2pbn2/2p5/P2nPN2/2NPB1PP/1PP3BK/R2Q1R2 b - - 2 13,"['d4c6', 'd7d8', 'd7c7', 'e7d8', 'a8c8', 'e6g4', 'a6a5', 'd7c8', 'd7e8', 'g8h8', 'a8e8', 'h7h5', 'f8e8', 'a8d8', 'a8b8', 'h7h6', 'g7g6', 'b7b5', 'g7g5', 'b7b6', 'f8b8', 'f8d8', 'f6e8', 'f8c8', 'a8a7', 'd6d5', 'd7c6', 'f6g4', 'd4b5', 'f6h5', 'd4c2', 'e6f5', 'd4f5', 'f6e4', 'f6d5', 'd4f3', 'd4e2', 'e6h3', 'd4b3', 'e6b3', 'e6a2', 'e6c4', 'c5c4', 'e6d5', 'd7b5', 'd7a4']","[0.43139643471891215, 0.4054188880512549, 0.39657487064657393, 0.39569407338298884, 0.3939345129435846, 0.38867247514924735, 0.3808281678856246, 0.37909324354871493, 0.3764966567002889, 0.3721847977876407, 0.3661823363988792, 0.3585257312416039, 0.3534608279851336, 0.3517797456776559, 0.3509405771225878, 0.3426002061577233, 0.3392907477206131, 0.3392907477206131, 0.33681889732873044, 0.3343559420193419, 0.32540282907907503, 0.3237883625149461, 0.3181708609785677, 0.31339752781910246, 0.29854364172866005, 0.2407066986076838, 0.23206706534704952, 0.20029332613389939, 0.1672300700782952, 0.13780095806432646, 0.1313691382702844, 0.12358976412903044, 0.11926914267573452, 0.11849774804133456, 0.10638197729176951, 0.10429994894276634, 0.10361398030487234, 0.10293200474653547, 0.09761797455048427, 0.09537095564452558, 0.09379438122652484, 0.08920404718859543, 0.08801463783567065, 0.07662683689656646, 0.053182016900453044, 0.043705873137683204]"
r1bqk2r/3pbppp/p1n1p3/1pp5/4P2n/2PPBN2/PPBN1PPP/R2Q1RK1 b kq - 8 10,"['h4f3', 'd7d6', 'h4g6', 'd7d5', 'e7f8', 'e7d6', 'c5c4', 'c8b7', 'd8b6', 'a6a5', 'e8g8', 'd8c7', 'a8b8', 'g7g5', 'e7f6', 'c6a5', 'b5b4', 'e6e5', 'g7g6', 'h7h6', 'a8a7', 'c6b8', 'c6a7', 'h7h5', 'd8a5', 'e8f8', 'h8f8', 'h8g8', 'f7f5', 'h4g2', 'c6d4', 'c6b4', 'f7f6', 'c6e5', 'h4f5', 'e7g5']","[0.46141502858974687, 0.43501278527292314, 0.410755311431655, 0.3661823363988792, 0.3484286119517737, 0.33846581558932665, 0.33271896373429855, 0.32459507444197383, 0.3229826967382582, 0.3229826967382582, 0.32137451728153066, 0.32057201036650806, 0.31339752781910246, 0.30787822162318473, 0.3070941655927887, 0.30631122259226473, 0.30631122259226473, 0.30319063909252536, 0.30086202940252793, 0.30008809407041565, 0.28710753429786423, 0.28710753429786423, 0.28410246577959375, 0.2788895198861058, 0.27446827486685393, 0.2586350767502906, 0.25302724901334644, 0.2516379230381391, 0.24681529249348733, 0.23075727435752347, 0.12969757635818585, 0.1223982532701347, 0.11321813012886112, 0.11321813012886112, 0.10779026169080513, 0.07108823921840635]"
8/6B1/8/6p1/6Bk/1P2r2P/P7/2R3K1 w - - 2 47,"['c1c4', 'a2a4', 'c1c3', 'c1c2', 'c1c7', 'g4d7', 'c1c8', 'c1c5', 'g1f2', 'g7d4', 'c1c6', 'g7f6', 'g1h1', 'c1d1', 'g4c8', 'c1a1', 'a2a3', 'g1h2', 'g7h6', 'g7a1', 'g1f1', 'b3b4', 'c1f1', 'g7b2', 'g7h8', 'g7f8', 'g1g2', 'c1b1', 'g4d1', 'g4f5', 'g7e5', 'g4f3', 'g4h5', 'g7c3', 'g4e6', 'c1e1', 'g4e2']","[0.9401498781798533, 0.9356480503494835, 0.9352032234843844, 0.9347555362081339, 0.9308325149435775, 0.9301179275610569, 0.9298782182687167, 0.929637748928412, 0.9289117607815935, 0.9286682314002843, 0.9274389948374029, 0.9249217724737815, 0.9241510955819465, 0.9233731631034335, 0.921529463001918, 0.9212627874683679, 0.9212627874683679, 0.9209952833572687, 0.9209952833572687, 0.9209952833572687, 0.9196452624848273, 0.918825175883201, 0.9177198589157038, 0.9177198589157038, 0.9163189534721607, 0.9140323859879603, 0.9092888130340637, 0.9086795639080399, 0.9077587883502571, 0.907450014345987, 0.9071403124659402, 0.8772056788044249, 0.8608813591131842, 0.8559592741390071, 0.853213948464882, 0.8494862867151542, 0.8358240437072986]"
4rk2/bp4p1/p4q2/3Q1p2/8/1P4R1/1P3PP1/6K1 w - - 6 32,"['g3h3', 'g1f1', 'd5d1', 'd5d2', 'd5c4', 'g1h2', 'g3e3', 'd5f3', 'd5d7', 'd5a5', 'd5d3', 'b3b4', 'g1h1', 'd5b5', 'd5e4', 'd5e6', 'd5f7', 'd5g8', 'd5d8', 'd5b7', 'd5e5', 'g3d3', 'g3c3', 'g3g5', 'g3g6', 'd5c6', 'd5c5', 'd5f5', 'g3g4', 'd5d4', 'g3f3', 'g3g7', 'd5d6']","[0.16774348040130993, 0.1360603758040403, 0.12559775111922367, 0.11433191756669464, 0.09761797455048427, 0.09537095564452558, 0.08035473751517275, 0.06546938490211807, 0.05244525350981433, 0.04448184481402617, 0.03649617068082933, 0.030221345935895372, 0.02188327087329406, 0.01513523720689608, 0.014438037809715087, 0.010219926677035529, 0.008864958981259663, 0.008180805251834677, 0.005716906789926035, 0.003447264228580549, 0.0020464983356988653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
r1bq1rk1/p3bpp1/2pp1n1p/4p3/4PP1B/2N5/PPPQ2PP/2KR1B1R w - - 0 12,"['f4e5', 'f1c4', 'g2g3', 'd2e1', 'f4f5', 'f1e2', 'c1b1', 'h1g1', 'h4e1', 'f1d3', 'h4f2', 'h2h3', 'b2b3', 'h4f6', 'd1e1', 'h4g3', 'a2a3', 'g2g4', 'a2a4', 'd2d3', 'd2e3', 'c3a4', 'c3b1', 'c3e2', 'd2f2', 'b2b4', 'd2e2', 'f1b5', 'h4g5', 'c3d5', 'c3b5', 'd2d6', 'f1a6', 'd2d5', 'd2d4']","[0.5404145195219514, 0.4669097177008696, 0.4559296988800415, 0.44954372531791664, 0.4286889425850106, 0.4223883025523238, 0.4205926555346196, 0.41700770288330274, 0.4143247132264411, 0.4063067778943678, 0.4027589492090241, 0.39745633901469424, 0.392177699072727, 0.39130033495471916, 0.3730455687844096, 0.36532817385496535, 0.3627707844161063, 0.35937299492456853, 0.34177138985111283, 0.3401166567266681, 0.31339752781910246, 0.3102370382643316, 0.30241330468885935, 0.30241330468885935, 0.30163710052985643, 0.2796306260994816, 0.2551207276169529, 0.20088375754720622, 0.18263344241323198, 0.17506378427288877, 0.17400282193912264, 0.1646818444286432, 0.1621648870000681, 0.08090061761863632, 0.05449490838555032]"
4k2r/p2B1pp1/7p/8/4q3/2P5/PP1R1PPP/2K4R b k - 0 23,"['e8e7', 'e8f8', 'e8d8']","[0.45501647940453177, 0.454103562397001, 0.048223453377403025]"
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,"['h7h6', 'e8g8', 'b8d7', 'c7c5', 'c7c6', 'd5c4', 'b7b6', 'a7a6', 'f6e4', 'a7a5', 'b8c6', 'e7b4', 'f6g8', 'd8d7', 'd8d6', 'b8a6', 'g7g6', 'h7h5', 'e8f8', 'b7b5', 'h8f8', 'c8d7', 'h8g8', 'e7f8', 'f6h5', 'f6d7', 'f6g4', 'e8d7', 'e7d6', 'e6e5', 'e7a3', 'e7c5']","[0.4733302559691369, 0.4714948226881868, 0.4696601598181785, 0.4659933421436654, 0.4650771960458313, 0.46141502858974687, 0.45319095389262815, 0.45319095389262815, 0.4504550396254112, 0.4486327495624493, 0.44408315815517135, 0.4268863060981179, 0.41611281849809095, 0.41611281849809095, 0.41343150341573687, 0.4054188880512549, 0.4018735643137257, 0.39922126818820586, 0.39745633901469424, 0.39305576011188204, 0.3904236728688792, 0.3904236728688792, 0.38605107056395144, 0.3816967754233412, 0.3678931833857318, 0.3392907477206131, 0.33190198331248677, 0.3157793377114481, 0.30396910093037527, 0.2621807972981455, 0.1139595988024229, 0.09410781540650409]"
8/2p4p/3k2p1/p7/1pB1K1P1/6bP/P7/8 w - - 1 36,"['c4b3', 'c4g8', 'e4d3', 'e4d4', 'c4d5', 'e4f3', 'c4b5', 'c4f7', 'e4e3', 'c4a6', 'c4d3', 'c4e2', 'c4f1', 'g4g5', 'a2a3', 'a2a4', 'h3h4', 'c4e6']","[0.4089741028083871, 0.39657487064657393, 0.38954771790854137, 0.3721847977876407, 0.36874985869153015, 0.3636223933562701, 0.3636223933562701, 0.35937299492456853, 0.354302733312082, 0.34926500611173045, 0.3434299837156404, 0.34177138985111283, 0.3294571208942188, 0.3189701789020309, 0.28410246577959375, 0.2537238112045824, 0.2044536974774852, 0.0715760679645217]"
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,"['d5e4', 'h7h6', 'f8e7', 'a7a6', 'c8d7', 'f8b4', 'c7c6', 'c7c5', 'b8c6', 'd8d7', 'a7a5', 'b8d7', 'b7b6', 'b8a6', 'b7b5', 'e8d7', 'h8g8', 'e6e5', 'd8d6', 'h7h5', 'd8e7', 'f8d6', 'g7g6', 'e8e7', 'f8a3', 'f8c5', 'f6e4', 'f6d7', 'f6g4', 'f6g8', 'f6h5']","[0.46874313267512907, 0.4659933421436654, 0.4568432147802496, 0.4304934733529298, 0.41879910735532644, 0.4179031343602754, 0.41611281849809095, 0.4098644115408538, 0.4063067778943678, 0.4009888189823705, 0.3948139524217644, 0.3816967754233412, 0.37132483661091226, 0.3678931833857318, 0.33846581558932665, 0.32057201036650806, 0.26647680798493956, 0.2454488673960863, 0.2281532478287117, 0.22428615873700553, 0.19794461416535591, 0.1837353232049962, 0.1809902538736936, 0.15673687957968802, 0.1369283400318172, 0.12559775111922367, 0.10057629832289083, 0.05801244208956258, 0.05506687719009473, 0.05299691532751344, 0.04527094120530434]"
1k1r4/pbp4p/1p6/8/4B3/2N3q1/PBP1Q3/1R3RK1 w - - 0 26,"['e2g2', 'e4g2', 'g1h1']","[0.895355564204594, 0.8711313970842215, 0.8200987926971613]"
r1k4r/pp5R/2pp4/3Np3/4P3/3P2PB/PPn4P/6K1 b - - 0 25,"['c8b8', 'c8d8']","[0.0, 0.0]"
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/5NP1/PPPP1P1P/RNBQKB1R w KQkq - 0 4,"['d1e2', 'd2d3', 'b1c3', 'e4e5', 'd2d4', 'f1g2', 'c2c4', 'a2a3', 'f1d3', 'h2h4', 'b2b3', 'a2a4', 'c2c3', 'h2h3', 'f1h3', 'f1e2', 'f1b5', 'b2b4', 'f3h4', 'e1e2', 'f3e5', 'g3g4', 'b1a3', 'f3d4', 'f1c4', 'h1g1', 'f3g1', 'f3g5', 'f1a6']","[0.5486333135073832, 0.5257517538936253, 0.5229967635676993, 0.4944771046316658, 0.44499235158754635, 0.4404501867400794, 0.4377296159574105, 0.43139643471891215, 0.4214902195015801, 0.41700770288330274, 0.41700770288330274, 0.4089741028083871, 0.39657487064657393, 0.39130033495471916, 0.39130033495471916, 0.38605107056395144, 0.3721847977876407, 0.36703734109527436, 0.3627707844161063, 0.35683385498256776, 0.354302733312082, 0.354302733312082, 0.35010232921435797, 0.35010232921435797, 0.3484286119517737, 0.3450924067173986, 0.3434299837156404, 0.15673687957968802, 0.10814488465274963]"
3r1r1k/2p2pp1/p2p1q1p/1p2p3/3PPnb1/1BP1QN1P/PP3PP1/R2R2K1 b - - 2 19,"['f4h3', 'e5d4', 'g4h3', 'g4h5', 'g4c8', 'g4d7', 'g4f3', 'g4e6', 'f6g6', 'f4g2', 'h6h5', 'g7g5', 'c7c5', 'd8e8', 'b5b4', 'a6a5', 'f8e8', 'c7c6', 'd8b8', 'd8c8', 'd8a8', 'g4f5', 'h8g8', 'h8h7', 'f4e2', 'd8d7', 'f6e7', 'g7g6', 'f4d5', 'f4e6', 'd6d5', 'f8g8', 'f4g6', 'f4d3', 'f4h5', 'f6g5', 'f6e6', 'f6h4', 'f6f5']","[0.7083494652148071, 0.6372292155838937, 0.6043059266170111, 0.5413288883579234, 0.5303398401818216, 0.5229967635676993, 0.5064432832995209, 0.5, 0.28260706642917927, 0.2400343786012863, 0.20088375754720622, 0.18044508988832997, 0.17400282193912264, 0.17189613488694255, 0.1698097103394629, 0.16877407540701395, 0.1646818444286432, 0.1631679274437725, 0.15240657549097442, 0.15240657549097442, 0.148174886276199, 0.1458661617291349, 0.14495105737956576, 0.14313515442187086, 0.14044687122292038, 0.14044687122292038, 0.1369283400318172, 0.13562813456382855, 0.13348426760561977, 0.13053108330810298, 0.1284558117032647, 0.1284558117032647, 0.12398914293212276, 0.12160941498126415, 0.0992517799624475, 0.09729410510118269, 0.0851035919775297, 0.06174219881763471, 0.04873299080067217]"
r7/pppq3k/3b2b1/4Q3/2BP4/2P4P/PP3PP1/R5K1 w - - 1 27,"['e5d5', 'c4e6', 'e5g5', 'e5e3', 'e5f6', 'e5b5', 'e5a5', 'e5e2', 'e5e6', 'e5e1', 'c4b5', 'c4a6', 'e5c5', 'a1e1', 'c4d3', 'f2f4', 'e5d6', 'c4b3', 'a1f1', 'h3h4', 'e5h2', 'c4g8', 'g1f1', 'g2g4', 'a2a4', 'b2b3', 'c4d5', 'e5h5', 'a1c1', 'c4f7', 'c4f1', 'e5g3', 'a2a3', 'g2g3', 'c4e2', 'b2b4', 'a1d1', 'e5e4', 'g1h1', 'e5f4', 'a1b1', 'e5h8', 'f2f3', 'g1h2', 'e5e8', 'e5g7', 'e5f5', 'd4d5', 'e5e7']","[0.49539752999711567, 0.4944771046316658, 0.48711557303526726, 0.47884068475933794, 0.46141502858974687, 0.4586711116420767, 0.45227865991833244, 0.4477221183422858, 0.44499235158754635, 0.44408315815517135, 0.1927360397463046, 0.15240657549097442, 0.13562813456382855, 0.12681590743681204, 0.12319149084862219, 0.1223982532701347, 0.12043437276310126, 0.12043437276310126, 0.11433191756669464, 0.11284897623993229, 0.11248087332490314, 0.11138285043817636, 0.110656053362296, 0.10993341208440888, 0.10993341208440888, 0.1085005324218955, 0.1085005324218955, 0.10743666150648551, 0.10673252134178429, 0.10429994894276634, 0.10429994894276634, 0.10429994894276634, 0.10395646446270596, 0.10225400583383587, 0.09826859886598244, 0.09826859886598244, 0.09794280511446124, 0.09632824270174412, 0.0960081969682186, 0.0960081969682186, 0.09537095564452558, 0.09285968753405982, 0.09285968753405982, 0.09224121164974286, 0.09193336344131242, 0.08920404718859543, 0.0889053425473339, 0.08481733928130131, 0.08283792298901071]"
rn2k2r/1p1qbpp1/p1Pp1n2/4p1B1/4P2P/N1P2B2/P4P2/R2QK2R b KQkq - 0 17,"['d7c6', 'b8c6', 'd7c7', 'b7c6', 'd7c8', 'd7d8', 'd7e6', 'd6d5', 'f6d5', 'b7b5', 'g7g6', 'f6e4', 'f6g4', 'e8g8', 'f6h7', 'd7f5', 'e8d8', 'e7f8', 'e8f8', 'f6h5', 'b7b6', 'a8a7', 'e7d8', 'h8h7', 'h8f8', 'a6a5', 'h8g8', 'd7g4', 'f6g8', 'd7h3', 'h8h6', 'h8h4', 'h8h5']","[0.6060654870564154, 0.5229967635676993, 0.46874313267512907, 0.46416128552924907, 0.4304934733529298, 0.30163710052985643, 0.2579296914716822, 0.08368104652783925, 0.07533431702495696, 0.07305814559620055, 0.06940492607857218, 0.06614848131031625, 0.06457400649394152, 0.06457400649394152, 0.06260093933963423, 0.061105378420221235, 0.061105378420221235, 0.05943709526487312, 0.058213984479502656, 0.05801244208956258, 0.05681687720615164, 0.05622781310464969, 0.056032737915242325, 0.054684939853249404, 0.054305499345811914, 0.05392854145197801, 0.052812422070430465, 0.0510005636521646, 0.04890396888770138, 0.048223453377403025, 0.047551934022181996, 0.04738544741274592, 0.04072933645622201]"
5r2/pb2q1kp/1pp1p1p1/4N3/3P4/2P5/PP2Q1PP/5RK1 w - - 1 23,"['f1f8', 'b2b4', 'e2e3', 'h2h3', 'f1f2', 'a2a3', 'h2h4', 'e5g4', 'e2d3', 'f1f3', 'e2c4', 'e2e1', 'b2b3', 'a2a4', 'e2d2', 'g2g4', 'e2g4', 'f1e1', 'f1d1', 'f1c1', 'c3c4', 'e2e4', 'f1b1', 'g2g3', 'f1a1', 'g1h1', 'e2d1', 'e5f3', 'e5c4', 'e5d3', 'e2c2', 'd4d5', 'e5g6', 'e5f7', 'f1f7', 'e5d7', 'e5c6', 'f1f4', 'e2f2', 'f1f6', 'e2f3', 'f1f5', 'e2h5', 'e2b5', 'e2a6']","[0.6346718261450347, 0.6165637432224795, 0.6043059266170111, 0.5963550316463674, 0.5785097804984198, 0.5749143902876699, 0.5731136939018822, 0.5695065266470701, 0.5686035652810878, 0.5677001476173855, 0.5667962794387497, 0.5649872147270768, 0.5604570759825421, 0.5604570759825421, 0.5586421525846197, 0.5522778816577142, 0.5486333135073832, 0.5477213400816676, 0.5468090461073719, 0.545896437602999, 0.5422429789460687, 0.5394998785122574, 0.5385849714102531, 0.5376698043044984, 0.5340066578563346, 0.5330902822991305, 0.5294226081270875, 0.5275875538925041, 0.5073636275599663, 0.5036820134406647, 0.5018410316799476, 0.4054188880512549, 0.2262138557091269, 0.2262138557091269, 0.22237016798603204, 0.20867793568510634, 0.1915928504041009, 0.16116682502020485, 0.16017373139259594, 0.1533603059112063, 0.1500435305626528, 0.11101893141984764, 0.0960081969682186, 0.0960081969682186, 0.08920404718859543]"
8/8/6k1/R5p1/3K2P1/5P2/8/4r3 b - - 29 69,"['g6f6', 'e1c1', 'e1d1', 'g6h6', 'e1f1', 'e1b1', 'e1e8', 'e1e6', 'e1e2', 'e1e7', 'e1g1', 'e1h1', 'g6g7', 'g6f7', 'g6h7', 'e1e4', 'e1e3', 'e1a1', 'e1e5']","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.1799012073028387, 0.17242090445576874, 0.17137263173985912, 0.07280918439112949, 0.031319359514539014, 0.03011361794122508, 0.0]"
rn4k1/p5pp/1pp5/2Pp1p2/4N3/2P1K1PB/PP5P/4R2R b - - 0 25,"['f5e4', 'd5e4', 'b8a6', 'b8d7', 'g7g6', 'f5f4', 'd5d4', 'g8h8', 'a7a5', 'h7h6', 'b6b5', 'g7g5', 'a7a6', 'h7h5', 'g8f8', 'b6c5', 'g8f7']","[0.10157996710955025, 0.09505375590046167, 0.09101535279101453, 0.08539072061698, 0.08283792298901071, 0.08200253407846159, 0.07688776954513865, 0.07533431702495696, 0.07482293812793234, 0.0715760679645217, 0.07060348244255998, 0.06752634758661236, 0.06569502690193751, 0.06546938490211807, 0.06524446379186621, 0.06325229595848025, 0.05882255957786381]"
6k1/5ppp/p2q4/2p5/6KP/6P1/8/8 w - - 0 31,"['h4h5', 'g4f3', 'g4f5', 'g4h3', 'g4g5', 'g4h5']","[0.019218780968537075, 0.01730604689613624, 0.013722581932539224, 0.013475628400805018, 0.010332271362392176, 0.0]"
1r6/ppR4R/1k1Npr2/8/8/3P4/PP4PP/4K3 w - - 15 35,"['d6c4', 'c7b7', 'c7c4', 'c7e7', 'c7d7', 'a2a3', 'd6e4', 'c7c2', 'h2h4', 'b2b3', 'b2b4', 'c7f7', 'h7g7', 'g2g3', 'h2h3', 'a2a4', 'c7g7', 'e1d2', 'c7c1', 'h7d7', 'e1e2', 'g2g4', 'h7e7', 'd3d4', 'c7c3', 'd6c8', 'e1d1', 'd6b7', 'h7f7', 'c7c8', 'c7c5', 'd6b5', 'd6e8', 'd6f7', 'd6f5', 'h7h4', 'h7h3', 'h7h5', 'c7c6', 'h7h6', 'h7h8']","[0.9303568787858939, 0.921529463001918, 0.920726948622784, 0.9174413966329305, 0.9174413966329305, 0.9166008574954206, 0.9166008574954206, 0.9166008574954206, 0.9163189534721607, 0.9163189534721607, 0.9148964080224704, 0.9134519639532505, 0.9131604245116784, 0.9131604245116784, 0.9125746784058927, 0.9119853621643293, 0.9119853621643293, 0.911094657452666, 0.9107959528114045, 0.9098944005759381, 0.9086795639080399, 0.9083735610512753, 0.9080666365586876, 0.9065181167592984, 0.9055778121403019, 0.903671757298256, 0.9027058948988173, 0.8960435355372941, 0.895355564204594, 0.8864116630140783, 0.8803435343168133, 0.8545919878415965, 0.8275790955442313, 0.7955463025225148, 0.7833074794076083, 0.5202403732122675, 0.5101243359708437, 0.5064432832995209, 0.5018410316799476, 0.415218486764101, 0.4071952805672289]"
